,piece_name,recording_number,original_feedback,assessor_idx,Q,A,split
27,Careless Love,1,"Good feel for the piece. Love the use of pedal. Nice rubato at the end.  If anything, tempo is a bit fast.",2, How is the overall tempo? , A bit fast.,test
28,Careless Love,1,"I didn't sense anything wrong with this piece. It flowed very well, had great tempo and dynamics. The pianist sounded confident in what they were playing.",3, Is the performance hesitant or smooth? , It flowed very well.,test
29,Careless Love,1,"I didn't sense anything wrong with this piece. It flowed very well, had great tempo and dynamics. The pianist sounded confident in what they were playing.",3, How is the overall tempo? , Had great tempo.,test
30,Careless Love,1,"I didn't sense anything wrong with this piece. It flowed very well, had great tempo and dynamics. The pianist sounded confident in what they were playing.",3, In which skill level would you say the performer is in? , Sounded confident in what they were playing.,test
31,Careless Love,1,"good accuracy, could have more dynamic shaping",4, Is the performed note accurate? , Good accuracy.,test
32,Careless Love,1,"good accuracy, could have more dynamic shaping",4, Is there reasonalbe dynamics contrast? , Could have more dynamic shaping.,test
33,Careless Love,1,"High level of musicality, no mistakes, great use of pedal.",5, What is the overall score you would assign to the performance? ," High level of musicality, no mistakes.",test
34,Careless Love,1,"High level of musicality, no mistakes, great use of pedal.",5, Is the pedal usage appropriate? , Great use of pedal.,test
35,Careless Love,1,Very good. The cresc. to F and dim. to mp wasn't there.,6, Is there reasonalbe dynamics contrast? , The cresc. to F and dim. to mp wasn't there.,test
36,Careless Love,1,"The flow is very smooth, along with very good tone . The notes and tempo are perfect.",7, How is the tone production? , Very good tone.,test
37,Careless Love,1,"The flow is very smooth, along with very good tone . The notes and tempo are perfect.",7, Is the performance hesitant or smooth? , The flow is very smooth.,test
38,Careless Love,1,"The flow is very smooth, along with very good tone . The notes and tempo are perfect.",7, Is the performed note accurate? , The notes are perfect.,test
39,Careless Love,1,"The flow is very smooth, along with very good tone . The notes and tempo are perfect.",7, How is the overall tempo? , The tempo is perfect.,test
40,Careless Love,2,N/A,-1,What kind of performance might this be? ,This is a student performance.,train
41,Careless Love,2,N/A,-1,"How would you rate the difficulty level of the piece, in a scale of 9? ",3,train
42,Careless Love,2,N/A,-1,What kind of music is this piece and what's difficult about it?,"This is a traditional song, adapted in simple melody and chords accompaniment.  ",train
43,Careless Love,2,4,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
44,Careless Love,2,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
45,Careless Love,2,note error,1,Can you give an overall assessment of the student performance? Elaborate in detail? ,note error,train
46,Careless Love,2,"Although the tempo stayed consistent, the notes were not held for the correct amount of time. Specifically, the notes in the left hand were too short, which made them sound too choppy. Overall, the song dragged too much and didn't sound cohesive.",1,Can you give an overall assessment of the student performance? Elaborate in detail? ,note error,train
47,Careless Love,2,4,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
48,Careless Love,2,2,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
49,Careless Love,2,Good tempo. Nice steady rhythm. Missed a B-flat right hand.,2,Can you give an overall assessment of the student performance? Elaborate in detail? ,Good tempo. Nice steady rhythm. Missed a B-flat right hand.,train
50,Careless Love,2,This piece felt choppy and not cohesive. The pianist sounded confident in what they were playing but that confidence did not lend to ease of listening.,2,Can you give an overall assessment of the student performance? Elaborate in detail? ,Good tempo. Nice steady rhythm. Missed a B-flat right hand.,train
51,Careless Love,2,2,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
52,Careless Love,2,3,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
53,Careless Love,2,"under tempo, lumpy heavy performance; no balance or shaping",3,Can you give an overall assessment of the student performance? Elaborate in detail? ,"under tempo, lumpy heavy performance; no balance or shaping",train
54,Careless Love,2,"Few mistakes, but not very musical.",3,Can you give an overall assessment of the student performance? Elaborate in detail? ,"under tempo, lumpy heavy performance; no balance or shaping",train
55,Careless Love,2,2,4,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
56,Careless Love,2,2,4,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
57,Careless Love,2,"Balance to heavy to LH. LH chords detached. Too slow, no ""flow."" Wrong note ms. 5 RH.",4,Can you give an overall assessment of the student performance? Elaborate in detail? ,"Balance to heavy to LH. LH chords detached. Too slow, no ""flow."" Wrong note ms. 5 RH.",train
58,Careless Love,2,There's some wrong notes in the beginning and some half notes don't last long enough.,4,Can you give an overall assessment of the student performance? Elaborate in detail? ,"Balance to heavy to LH. LH chords detached. Too slow, no ""flow."" Wrong note ms. 5 RH.",train
59,Careless Love,2,note error,0, Is the performed note accurate? , There were note errors in the performance.,train
60,Careless Love,2,"Although the tempo stayed consistent, the notes were not held for the correct amount of time. Specifically, the notes in the left hand were too short, which made them sound too choppy. Overall, the song dragged too much and didn't sound cohesive.",1, How is the overall tempo? ," Though the tempo stayed consistent, it made the song drag.",train
61,Careless Love,2,"Although the tempo stayed consistent, the notes were not held for the correct amount of time. Specifically, the notes in the left hand were too short, which made them sound too choppy. Overall, the song dragged too much and didn't sound cohesive.",1, Is the performance hesitant or smooth? , Overall the performance was not cohesive.,train
62,Careless Love,2,"Although the tempo stayed consistent, the notes were not held for the correct amount of time. Specifically, the notes in the left hand were too short, which made them sound too choppy. Overall, the song dragged too much and didn't sound cohesive.",1, Is the articulation appropriate? ," The notes in the left hand were not held for the correct duration, making them sound too choppy. ",train
63,Careless Love,2,Good tempo. Nice steady rhythm. Missed a B-flat right hand.,2, How is the overall tempo? , The tempo was good. ,train
64,Careless Love,2,Good tempo. Nice steady rhythm. Missed a B-flat right hand.,2, Is the rhythm accurate? , The rhythm was steady.,train
65,Careless Love,2,Good tempo. Nice steady rhythm. Missed a B-flat right hand.,2, Is the performed note accurate? , A B-flat note was missed on the right hand.,train
66,Careless Love,2,This piece felt choppy and not cohesive. The pianist sounded confident in what they were playing but that confidence did not lend to ease of listening.,3, How would you describe the emotional intent of the performance? , The pianist sounded confident. ,train
67,Careless Love,2,This piece felt choppy and not cohesive. The pianist sounded confident in what they were playing but that confidence did not lend to ease of listening.,3, Is the performance hesitant or smooth? , The piece felt choppy and not cohesive.,train
68,Careless Love,2,"under tempo, lumpy heavy performance; no balance or shaping",4, How is the overall tempo? , The performance was under tempo. ,train
69,Careless Love,2,"under tempo, lumpy heavy performance; no balance or shaping",4, Is there reasonable balance between hands? ," No, there was no balance.",train
70,Careless Love,2,"under tempo, lumpy heavy performance; no balance or shaping",4, Is the phrasing or melodic shaping clear? , There was no shaping.,train
71,Careless Love,2,"Few mistakes, but not very musical.",5, Is the performed note accurate? , Few mistakes were made. ,train
72,Careless Love,2,"Few mistakes, but not very musical.",5, How would you describe the emotional intent of the performance? , The performance was not very musical.,train
73,Careless Love,2,"Balance to heavy to LH. LH chords detached. Too slow, no ""flow."" Wrong note ms. 5 RH.",6, Is there reasonable balance between hands? ," No, the balance was too heavy to the left hand. ",train
74,Careless Love,2,"Balance to heavy to LH. LH chords detached. Too slow, no ""flow."" Wrong note ms. 5 RH.",6, How is the overall tempo? ," The tempo was too slow, no ""flow.""",train
75,Careless Love,2,"Balance to heavy to LH. LH chords detached. Too slow, no ""flow."" Wrong note ms. 5 RH.",6, Is the performed note accurate? , Wrong note at measure 5 in right hand.,train
76,Careless Love,2,There's some wrong notes in the beginning and some half notes don't last long enough.,7, Is the performed note accurate? , There were some wrong notes in the beginning.,train
77,Careless Love,2,There's some wrong notes in the beginning and some half notes don't last long enough.,7, Is the performance hesitant or smooth? , Some half notes were not held long enough.,train
78,Careless Love,3,N/A,-1,What kind of performance might this be? ,This is a student performance.,train
79,Careless Love,3,N/A,-1,"How would you rate the difficulty level of the piece, in a scale of 9? ",3,train
80,Careless Love,3,N/A,-1,What kind of music is this piece and what's difficult about it?,"This is a traditional song, adapted in simple melody and chords accompaniment.  ",train
81,Careless Love,3,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
82,Careless Love,3,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
83,Careless Love,3,note errors,1,Can you give an overall assessment of the student performance? Elaborate in detail? ,note errors,train
84,Careless Love,3,"The tempo was too slow and didn't follow the cut time notation. In addition, it sounded too hesitant, and the song didn't flow very well. It was too choppy.",1,Can you give an overall assessment of the student performance? Elaborate in detail? ,note errors,train
85,Careless Love,3,4,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
86,Careless Love,3,1,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
87,Careless Love,3,Good tempo! Good reading of chords (missed the b-flat minor chord).,2,Can you give an overall assessment of the student performance? Elaborate in detail? ,Good tempo! Good reading of chords (missed the b-flat minor chord).,train
88,Careless Love,3,This piece also felt choppy and not cohesive. The dynamics written on the sheet music were not followed. There were also a few times where notes were played that were not written on the sheet music.,2,Can you give an overall assessment of the student performance? Elaborate in detail? ,Good tempo! Good reading of chords (missed the b-flat minor chord).,train
89,Careless Love,3,1,3,"What is the overall score you would assign to the performance, in a scale of 5? ",1,train
90,Careless Love,3,2,3,"What is the overall score you would assign to the performance, in a scale of 5? ",1,train
91,Careless Love,3,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",3,Can you give an overall assessment of the student performance? Elaborate in detail? ,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",train
92,Careless Love,3,"Left hand too strong, melody too weak. Very detached.",3,Can you give an overall assessment of the student performance? Elaborate in detail? ,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",train
93,Careless Love,3,1,4,"What is the overall score you would assign to the performance, in a scale of 5? ",1,train
94,Careless Love,3,3,4,"What is the overall score you would assign to the performance, in a scale of 5? ",1,train
95,Careless Love,3,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,4,Can you give an overall assessment of the student performance? Elaborate in detail? ,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,train
96,Careless Love,3,"The flow isn't very smooth, otherwise it has accurate notes and tempo.",4,Can you give an overall assessment of the student performance? Elaborate in detail? ,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,train
97,Careless Love,3,note errors,0, Is the performed note accurate? ," No, there were note errors.",train
98,Careless Love,3,"The tempo was too slow and didn't follow the cut time notation. In addition, it sounded too hesitant, and the song didn't flow very well. It was too choppy.",1, How is the overall tempo? , The tempo was too slow and didn't follow the cut time notation. ,train
99,Careless Love,3,"The tempo was too slow and didn't follow the cut time notation. In addition, it sounded too hesitant, and the song didn't flow very well. It was too choppy.",1, Is the performance hesitant or smooth? ," It sounded too hesitant, the song didn't flow very well. It was too choppy.",train
100,Careless Love,3,Good tempo! Good reading of chords (missed the b-flat minor chord).,2, How is the overall tempo? , Good tempo ,train
101,Careless Love,3,Good tempo! Good reading of chords (missed the b-flat minor chord).,2, Is the performed note accurate? ," In chords reading, missed the b-flat minor chord.",train
102,Careless Love,3,This piece also felt choppy and not cohesive. The dynamics written on the sheet music were not followed. There were also a few times where notes were played that were not written on the sheet music.,3, Is the performance hesitant or smooth? , The piece felt choppy and not cohesive. ,train
103,Careless Love,3,This piece also felt choppy and not cohesive. The dynamics written on the sheet music were not followed. There were also a few times where notes were played that were not written on the sheet music.,3, Is there reasonable dynamics contrast? ," No, the dynamics written on the sheet music were not followed. ",train
104,Careless Love,3,This piece also felt choppy and not cohesive. The dynamics written on the sheet music were not followed. There were also a few times where notes were played that were not written on the sheet music.,3, Is the performed note accurate? ," No, there were notes played that were not written on the sheet music.",train
105,Careless Love,3,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",4, How is the overall tempo? , Way too slow. ,train
106,Careless Love,3,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",4, Is there reasonable balance between hands? , No balance. ,train
107,Careless Love,3,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",4, Is there reasonable dynamics contrast? , No dynamic contrast. ,train
108,Careless Love,3,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",4, Is the performed note accurate? , Wrong notes.,train
109,Careless Love,3,"Left hand too strong, melody too weak. Very detached.",5, How is the balance between hands? ," Left hand too strong, melody too weak. ",train
110,Careless Love,3,"Left hand too strong, melody too weak. Very detached.",5, Is the articulation appropriate? , Very detached.,train
111,Careless Love,3,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,6, Is there reasonable balance between hands? , No LH/RH balance. ,train
112,Careless Love,3,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,6, Is the performed note accurate? , Wrong notes in line 3. ,train
113,Careless Love,3,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,6, How is the overall tempo? , Too slow.,train
114,Careless Love,3,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,6, How is the tone production? , Heavy sound.,train
115,Careless Love,3,"The flow isn't very smooth, otherwise it has accurate notes and tempo.",7, Is the performance hesitant or smooth? , The flow isn't very smooth. ,train
116,Careless Love,3,"The flow isn't very smooth, otherwise it has accurate notes and tempo.",7, Is the performed note accurate? ," Yes, it has accurate notes.",train
117,Careless Love,3,"The flow isn't very smooth, otherwise it has accurate notes and tempo.",7, How is the overall tempo? ," Good, it has an accurate tempo.",train
118,Careless Love,4,N/A,-1,What kind of performance might this be? ,This is a student performance.,train
119,Careless Love,4,N/A,-1,"How would you rate the difficulty level of the piece, in a scale of 9? ",3,train
120,Careless Love,4,N/A,-1,What kind of music is this piece and what's difficult about it?,"This is a traditional song, adapted in simple melody and chords accompaniment.  ",train
121,Careless Love,4,4,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
122,Careless Love,4,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
123,Careless Love,4,note and timing errors,1,Can you give an overall assessment of the student performance? Elaborate in detail? ,note and timing errors,train
124,Careless Love,4,"The performer hesitated while playing, but hit all the notes just fine. All they needed was confidence!",1,Can you give an overall assessment of the student performance? Elaborate in detail? ,note and timing errors,train
125,Careless Love,4,4,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
126,Careless Love,4,3,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
127,Careless Love,4,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",2,Can you give an overall assessment of the student performance? Elaborate in detail? ,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",train
128,Careless Love,4,"Some parts feel a bit out of tempo. It sounds a bit emotionless, but not too bad.",2,Can you give an overall assessment of the student performance? Elaborate in detail? ,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",train
129,Careless Love,4,2,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
130,Careless Love,4,4,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
131,Careless Love,4,"tempo not quite consistent, some inaccuracies",3,Can you give an overall assessment of the student performance? Elaborate in detail? ,"tempo not quite consistent, some inaccuracies",train
132,Careless Love,4,The player seems to do very well with note accuracy. There was some hesitancy in the tempo at the beginning that improved throughout the recording. The ending had a very nice tone on the final chord.,3,Can you give an overall assessment of the student performance? Elaborate in detail? ,"tempo not quite consistent, some inaccuracies",train
133,Careless Love,4,3,4,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
134,Careless Love,4,3,4,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
135,Careless Love,4,Good balance. Wrong notes line 3 and hesitations.,4,Can you give an overall assessment of the student performance? Elaborate in detail? ,Good balance. Wrong notes line 3 and hesitations.,train
136,Careless Love,4,"The notes were accurate as far as I could tell, but the beat was inconsistent - there were many pauses. Additionally, there was no change in sound intensity (like at the crescendo).",4,Can you give an overall assessment of the student performance? Elaborate in detail? ,Good balance. Wrong notes line 3 and hesitations.,train
137,Careless Love,4,note and timing errors,0, Is the performed note accurate? , There were note errors.,train
138,Careless Love,4,note and timing errors,0, Is the rhythm accurate? , There were timing errors.,train
139,Careless Love,4,"The performer hesitated while playing, but hit all the notes just fine. All they needed was confidence!",1, Is the performance hesitant or smooth? , The performer hesitated while playing.,train
140,Careless Love,4,"The performer hesitated while playing, but hit all the notes just fine. All they needed was confidence!",1, Is the performed note accurate? , The performer hit all the notes just fine.,train
141,Careless Love,4,"The performer hesitated while playing, but hit all the notes just fine. All they needed was confidence!",1, What does the student need to work on? , The performer needs more confidence.,train
142,Careless Love,4,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",2, Is the rhythm accurate? , Nice rhythm throughout.,train
143,Careless Love,4,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",2, Is the performed note accurate? , Needs to correct the b-flat minor chord.,train
144,Careless Love,4,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",2, Is there reasonable dynamics contrast? , Needs to add dynamics.,train
145,Careless Love,4,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",2, Is there reasonable tempo contrast? , Needs to add ritardando (rit) at the end.,train
146,Careless Love,4,"Some parts feel a bit out of tempo. It sounds a bit emotionless, but not too bad.",3, Is the performed tempo stable? , Some parts are out of tempo.,train
147,Careless Love,4,"Some parts feel a bit out of tempo. It sounds a bit emotionless, but not too bad.",3, How would you describe the emotional intent of the performance? , The performance sounds a bit emotionless.,train
148,Careless Love,4,"tempo not quite consistent, some inaccuracies",4, Is the performed tempo stable? , Tempo is not quite consistent.,train
149,Careless Love,4,"tempo not quite consistent, some inaccuracies",4, Are there any note or rhythm inaccuracies? , There are some inaccuracies in the performance.,train
150,Careless Love,4,The player seems to do very well with note accuracy. There was some hesitancy in the tempo at the beginning that improved throughout the recording. The ending had a very nice tone on the final chord.,5, Is the performed note accurate? , The player performed very well with note accuracy.,train
151,Careless Love,4,The player seems to do very well with note accuracy. There was some hesitancy in the tempo at the beginning that improved throughout the recording. The ending had a very nice tone on the final chord.,5, Is the performed tempo stable? , There was some hesitancy at the beginning but improved throughout.,train
152,Careless Love,4,The player seems to do very well with note accuracy. There was some hesitancy in the tempo at the beginning that improved throughout the recording. The ending had a very nice tone on the final chord.,5, How is the tone production? , The ending had a very nice tone on the final chord.,train
153,Careless Love,4,Good balance. Wrong notes line 3 and hesitations.,6, Is there reasonable balance between hands? , Good balance.,train
154,Careless Love,4,Good balance. Wrong notes line 3 and hesitations.,6, Is the performed note accurate? , There were wrong notes in line 3.,train
155,Careless Love,4,Good balance. Wrong notes line 3 and hesitations.,6, Is the performance hesitant or smooth? , There were hesitations in the performance.,train
156,Careless Love,4,"The notes were accurate as far as I could tell, but the beat was inconsistent - there were many pauses. Additionally, there was no change in sound intensity (like at the crescendo).",7, Is the performed note accurate? , The notes were accurate.,train
157,Careless Love,4,"The notes were accurate as far as I could tell, but the beat was inconsistent - there were many pauses. Additionally, there was no change in sound intensity (like at the crescendo).",7, Is the performed tempo stable? , The beat was inconsistent with many pauses.,train
158,Careless Love,4,"The notes were accurate as far as I could tell, but the beat was inconsistent - there were many pauses. Additionally, there was no change in sound intensity (like at the crescendo).",7, Is there reasonable dynamics contrast? , There was no change in sound intensity.,train
159,Careless Love,5,N/A,-1,What kind of performance might this be? ,This is a student performance.,train
160,Careless Love,5,N/A,-1,"How would you rate the difficulty level of the piece, in a scale of 9? ",3,train
161,Careless Love,5,N/A,-1,What kind of music is this piece and what's difficult about it?,"This is a traditional song, adapted in simple melody and chords accompaniment.  ",train
162,Careless Love,5,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
163,Careless Love,5,5,1,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
164,Careless Love,5,More carefully follows the specific directions for dynamics and tempo,1,Can you give an overall assessment of the student performance? Elaborate in detail? ,More carefully follows the specific directions for dynamics and tempo,train
165,Careless Love,5,The performer played the piece smoothly and with confidence! It sounded effectively flawless.,1,Can you give an overall assessment of the student performance? Elaborate in detail? ,More carefully follows the specific directions for dynamics and tempo,train
166,Careless Love,5,5,2,"What is the overall score you would assign to the performance, in a scale of 5? ",5,train
167,Careless Love,5,5,2,"What is the overall score you would assign to the performance, in a scale of 5? ",5,train
168,Careless Love,5,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,2,Can you give an overall assessment of the student performance? Elaborate in detail? ,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,train
169,Careless Love,5,"Way more flow and smoothness. Dynamics make sense and are more interesting to listen to. I don't want to give it a 4 because of that, but in my opinion, could be a tiny bit slower as the tempo is ""moderately slow""",2,Can you give an overall assessment of the student performance? Elaborate in detail? ,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,train
170,Careless Love,5,4,3,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
171,Careless Love,5,5,3,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
172,Careless Love,5,good smooth performance with addition of pedal; needed to rit at end; could use more dynamic shaping,3,Can you give an overall assessment of the student performance? Elaborate in detail? ,good smooth performance with addition of pedal; needed to rit at end; could use more dynamic shaping,train
173,Careless Love,5,The player had a very consistent tempo. There was great phrasing between sections of the music. The overall musicality was excellent.,3,Can you give an overall assessment of the student performance? Elaborate in detail? ,good smooth performance with addition of pedal; needed to rit at end; could use more dynamic shaping,train
174,Careless Love,5,4,4,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
175,Careless Love,5,4,4,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
176,Careless Love,5,Good use of pedal. All good except rit at end and dynamics as indicated lines 3-4 not enough.,4,Can you give an overall assessment of the student performance? Elaborate in detail? ,Good use of pedal. All good except rit at end and dynamics as indicated lines 3-4 not enough.,train
177,Careless Love,5,"The notes were accurate, and the pace was consistent. However, there was no change in sound intensity at the crescendo.",4,Can you give an overall assessment of the student performance? Elaborate in detail? ,Good use of pedal. All good except rit at end and dynamics as indicated lines 3-4 not enough.,train
178,Careless Love,5,More carefully follows the specific directions for dynamics and tempo,0, How would you rate the adherence to the dynamics specified in the piece? , Performer follows the specific directions for dynamics carefully. ,train
179,Careless Love,5,More carefully follows the specific directions for dynamics and tempo,0, How is the overall tempo? , Performer follows the specific directions for tempo carefully. ,train
180,Careless Love,5,The performer played the piece smoothly and with confidence! It sounded effectively flawless.,1, Is the performance hesitant or smooth? , The performance was smooth.,train
181,Careless Love,5,The performer played the piece smoothly and with confidence! It sounded effectively flawless.,1, How would you describe the emotional intent of the performance? , The performer played with confidence.,train
182,Careless Love,5,The performer played the piece smoothly and with confidence! It sounded effectively flawless.,1, In which skill level would you say the performer is in? What's the reasoning of that? , The performer is in a high skill level. The performance was effectively flawless.,train
183,Careless Love,5,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,2, How is the overall tempo? , Nice tempo.,train
184,Careless Love,5,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,2, Is the rhythm accurate? , Nice steady rhythm.,train
185,Careless Love,5,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,2, Is the performed note accurate? , Accurate reading.,train
186,Careless Love,5,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,2, Is there reasonable tempo contrast? , Good little rubato at the end.,train
187,Careless Love,5,"Way more flow and smoothness. Dynamics make sense and are more interesting to listen to. I don't want to give it a 4 because of that, but in my opinion, could be a tiny bit slower as the tempo is ""moderately slow""",3, Is the performance hesitant or smooth? , Way more flow and smoothness.,train
