,piece_name,recording_number,original_feedback,assessor_idx,Q,A,split
63,Careless Love,3,3,4,"What is the overall score you would assign to the performance, in a scale of 5? ",1,train
64,Careless Love,3,note errors,0, Is the performed note accurate? ," No, there were note errors.",train
65,Careless Love,3,"The tempo was too slow and didn't follow the cut time notation. In addition, it sounded too hesitant, and the song didn't flow very well. It was too choppy.",1, How is the overall tempo? , The tempo was too slow and didn't follow the cut time notation. ,train
66,Careless Love,3,"The tempo was too slow and didn't follow the cut time notation. In addition, it sounded too hesitant, and the song didn't flow very well. It was too choppy.",1, Is the performance hesitant or smooth? ," It sounded too hesitant, the song didn't flow very well. It was too choppy.",train
67,Careless Love,3,Good tempo! Good reading of chords (missed the b-flat minor chord).,2, How is the overall tempo? , Good tempo ,train
68,Careless Love,3,Good tempo! Good reading of chords (missed the b-flat minor chord).,2, Is the performed note accurate? ," In chords reading, missed the b-flat minor chord.",train
69,Careless Love,3,This piece also felt choppy and not cohesive. The dynamics written on the sheet music were not followed. There were also a few times where notes were played that were not written on the sheet music.,3, Is the performance hesitant or smooth? , The piece felt choppy and not cohesive. ,train
70,Careless Love,3,This piece also felt choppy and not cohesive. The dynamics written on the sheet music were not followed. There were also a few times where notes were played that were not written on the sheet music.,3, Is there reasonable dynamics contrast? ," No, the dynamics written on the sheet music were not followed. ",train
71,Careless Love,3,This piece also felt choppy and not cohesive. The dynamics written on the sheet music were not followed. There were also a few times where notes were played that were not written on the sheet music.,3, Is the performed note accurate? ," No, there were notes played that were not written on the sheet music.",train
72,Careless Love,3,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",4, How is the overall tempo? , Way too slow. ,train
73,Careless Love,3,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",4, Is there reasonable balance between hands? , No balance. ,train
74,Careless Love,3,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",4, Is there reasonable dynamics contrast? , No dynamic contrast. ,train
75,Careless Love,3,"way too slow, no balance, no dynamic contrast.  Not musical.  Wrong notes",4, Is the performed note accurate? , Wrong notes.,train
76,Careless Love,3,"Left hand too strong, melody too weak. Very detached.",5, How is the balance between hands? ," Left hand too strong, melody too weak. ",train
77,Careless Love,3,"Left hand too strong, melody too weak. Very detached.",5, Is the articulation appropriate? , Very detached.,train
78,Careless Love,3,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,6, Is there reasonable balance between hands? , No LH/RH balance. ,train
79,Careless Love,3,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,6, Is the performed note accurate? , Wrong notes in line 3. ,train
80,Careless Love,3,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,6, How is the overall tempo? , Too slow.,train
81,Careless Love,3,No LH/RH balance. Wrong notes line 3. Too slow. Heavy sound.,6, How is the tone production? , Heavy sound.,train
82,Careless Love,3,"The flow isn't very smooth, otherwise it has accurate notes and tempo.",7, Is the performance hesitant or smooth? , The flow isn't very smooth. ,train
83,Careless Love,3,"The flow isn't very smooth, otherwise it has accurate notes and tempo.",7, Is the performed note accurate? ," Yes, it has accurate notes.",train
84,Careless Love,3,"The flow isn't very smooth, otherwise it has accurate notes and tempo.",7, How is the overall tempo? ," Good, it has an accurate tempo.",train
85,Careless Love,4,4,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
86,Careless Love,4,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
87,Careless Love,4,4,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
88,Careless Love,4,3,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
89,Careless Love,4,2,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
90,Careless Love,4,4,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
91,Careless Love,4,3,4,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
92,Careless Love,4,3,4,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
93,Careless Love,4,note and timing errors,0, Is the performed note accurate? , There were note errors.,train
94,Careless Love,4,note and timing errors,0, Is the rhythm accurate? , There were timing errors.,train
95,Careless Love,4,"The performer hesitated while playing, but hit all the notes just fine. All they needed was confidence!",1, Is the performance hesitant or smooth? , The performer hesitated while playing.,train
96,Careless Love,4,"The performer hesitated while playing, but hit all the notes just fine. All they needed was confidence!",1, Is the performed note accurate? , The performer hit all the notes just fine.,train
97,Careless Love,4,"The performer hesitated while playing, but hit all the notes just fine. All they needed was confidence!",1, What does the student need to work on? , The performer needs more confidence.,train
98,Careless Love,4,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",2, Is the rhythm accurate? , Nice rhythm throughout.,train
99,Careless Love,4,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",2, Is the performed note accurate? , Needs to correct the b-flat minor chord.,train
100,Careless Love,4,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",2, Is there reasonable dynamics contrast? , Needs to add dynamics.,train
101,Careless Love,4,"Good job reading! Nice rhythm throughout.   Correct the b-flat minor chord, add dynamics, rit at the end, and you are good to go!",2, Is there reasonable tempo contrast? , Needs to add ritardando (rit) at the end.,train
102,Careless Love,4,"Some parts feel a bit out of tempo. It sounds a bit emotionless, but not too bad.",3, Is the performed tempo stable? , Some parts are out of tempo.,train
103,Careless Love,4,"Some parts feel a bit out of tempo. It sounds a bit emotionless, but not too bad.",3, How would you describe the emotional intent of the performance? , The performance sounds a bit emotionless.,train
104,Careless Love,4,"tempo not quite consistent, some inaccuracies",4, Is the performed tempo stable? , Tempo is not quite consistent.,train
105,Careless Love,4,"tempo not quite consistent, some inaccuracies",4, Are there any note or rhythm inaccuracies? , There are some inaccuracies in the performance.,train
106,Careless Love,4,The player seems to do very well with note accuracy. There was some hesitancy in the tempo at the beginning that improved throughout the recording. The ending had a very nice tone on the final chord.,5, Is the performed note accurate? , The player performed very well with note accuracy.,train
107,Careless Love,4,The player seems to do very well with note accuracy. There was some hesitancy in the tempo at the beginning that improved throughout the recording. The ending had a very nice tone on the final chord.,5, Is the performed tempo stable? , There was some hesitancy at the beginning but improved throughout.,train
108,Careless Love,4,The player seems to do very well with note accuracy. There was some hesitancy in the tempo at the beginning that improved throughout the recording. The ending had a very nice tone on the final chord.,5, How is the tone production? , The ending had a very nice tone on the final chord.,train
109,Careless Love,4,Good balance. Wrong notes line 3 and hesitations.,6, Is there reasonable balance between hands? , Good balance.,train
110,Careless Love,4,Good balance. Wrong notes line 3 and hesitations.,6, Is the performed note accurate? , There were wrong notes in line 3.,train
111,Careless Love,4,Good balance. Wrong notes line 3 and hesitations.,6, Is the performance hesitant or smooth? , There were hesitations in the performance.,train
112,Careless Love,4,"The notes were accurate as far as I could tell, but the beat was inconsistent - there were many pauses. Additionally, there was no change in sound intensity (like at the crescendo).",7, Is the performed note accurate? , The notes were accurate.,train
113,Careless Love,4,"The notes were accurate as far as I could tell, but the beat was inconsistent - there were many pauses. Additionally, there was no change in sound intensity (like at the crescendo).",7, Is the performed tempo stable? , The beat was inconsistent with many pauses.,train
114,Careless Love,4,"The notes were accurate as far as I could tell, but the beat was inconsistent - there were many pauses. Additionally, there was no change in sound intensity (like at the crescendo).",7, Is there reasonable dynamics contrast? , There was no change in sound intensity.,train
115,Careless Love,5,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
116,Careless Love,5,5,1,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
117,Careless Love,5,5,2,"What is the overall score you would assign to the performance, in a scale of 5? ",5,train
118,Careless Love,5,5,2,"What is the overall score you would assign to the performance, in a scale of 5? ",5,train
119,Careless Love,5,4,3,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
120,Careless Love,5,5,3,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
121,Careless Love,5,4,4,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
122,Careless Love,5,4,4,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
123,Careless Love,5,More carefully follows the specific directions for dynamics and tempo,0, How would you rate the adherence to the dynamics specified in the piece? , Performer follows the specific directions for dynamics carefully. ,train
124,Careless Love,5,More carefully follows the specific directions for dynamics and tempo,0, How is the overall tempo? , Performer follows the specific directions for tempo carefully. ,train
125,Careless Love,5,The performer played the piece smoothly and with confidence! It sounded effectively flawless.,1, Is the performance hesitant or smooth? , The performance was smooth.,train
126,Careless Love,5,The performer played the piece smoothly and with confidence! It sounded effectively flawless.,1, How would you describe the emotional intent of the performance? , The performer played with confidence.,train
127,Careless Love,5,The performer played the piece smoothly and with confidence! It sounded effectively flawless.,1, In which skill level would you say the performer is in? What's the reasoning of that? , The performer is in a high skill level. The performance was effectively flawless.,train
128,Careless Love,5,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,2, How is the overall tempo? , Nice tempo.,train
129,Careless Love,5,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,2, Is the rhythm accurate? , Nice steady rhythm.,train
130,Careless Love,5,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,2, Is the performed note accurate? , Accurate reading.,train
131,Careless Love,5,Nice tempo! Nice steady rhythm! Accurate reading! Good little rubato at the end!,2, Is there reasonable tempo contrast? , Good little rubato at the end.,train
132,Careless Love,5,"Way more flow and smoothness. Dynamics make sense and are more interesting to listen to. I don't want to give it a 4 because of that, but in my opinion, could be a tiny bit slower as the tempo is ""moderately slow""",3, Is the performance hesitant or smooth? , Way more flow and smoothness.,train
133,Careless Love,5,"Way more flow and smoothness. Dynamics make sense and are more interesting to listen to. I don't want to give it a 4 because of that, but in my opinion, could be a tiny bit slower as the tempo is ""moderately slow""",3, Is there reasonable dynamics contrast? , Dynamics make sense and are more interesting to listen to.,train
134,Careless Love,5,"Way more flow and smoothness. Dynamics make sense and are more interesting to listen to. I don't want to give it a 4 because of that, but in my opinion, could be a tiny bit slower as the tempo is ""moderately slow""",3, How is the overall tempo? ," Could be a tiny bit slower as the tempo is ""moderately slow"".",train
135,Careless Love,5,good smooth performance with addition of pedal; needed to rit at end; could use more dynamic shaping,4, Is the performance hesitant or smooth? , Good smooth performance.,train
136,Careless Love,5,good smooth performance with addition of pedal; needed to rit at end; could use more dynamic shaping,4, How is the pedal usage? ," Good, there's an addition of pedal.",train
137,Careless Love,5,good smooth performance with addition of pedal; needed to rit at end; could use more dynamic shaping,4, Is there reasonable tempo contrast? , Needed to rit at end.,train
138,Careless Love,5,good smooth performance with addition of pedal; needed to rit at end; could use more dynamic shaping,4, Is there reasonable dynamics contrast? , Could use more dynamic shaping.,train
139,Careless Love,5,The player had a very consistent tempo. There was great phrasing between sections of the music. The overall musicality was excellent.,5, How is the overall tempo? , Very consistent tempo.,train
140,Careless Love,5,The player had a very consistent tempo. There was great phrasing between sections of the music. The overall musicality was excellent.,5, Is the phrasing or melodic shaping clear? , Great phrasing between sections.,train
141,Careless Love,5,The player had a very consistent tempo. There was great phrasing between sections of the music. The overall musicality was excellent.,5, How would you describe the emotional intent of the performance? , The overall musicality was excellent.,train
142,Careless Love,5,Good use of pedal. All good except rit at end and dynamics as indicated lines 3-4 not enough.,6, How is the pedal usage? , Good use of pedal.,train
143,Careless Love,5,Good use of pedal. All good except rit at end and dynamics as indicated lines 3-4 not enough.,6, Is there reasonable tempo contrast? , All good except rit at end.,train
144,Careless Love,5,Good use of pedal. All good except rit at end and dynamics as indicated lines 3-4 not enough.,6, Is there reasonable dynamics contrast? , Dynamics as indicated lines 3-4 not enough.,train
145,Careless Love,5,"The notes were accurate, and the pace was consistent. However, there was no change in sound intensity at the crescendo.",7, Is the performed note accurate? , The notes were accurate.,train
146,Careless Love,5,"The notes were accurate, and the pace was consistent. However, there was no change in sound intensity at the crescendo.",7, How is the overall tempo? , The pace was consistent.,train
147,Careless Love,5,"The notes were accurate, and the pace was consistent. However, there was no change in sound intensity at the crescendo.",7, Is there reasonable dynamics contrast? , No change in sound intensity at the crescendo.,train
148,Careless Love,6,4,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
149,Careless Love,6,4,1,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
150,Careless Love,6,4,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
151,Careless Love,6,3,2,"What is the overall score you would assign to the performance, in a scale of 5? ",4,train
152,Careless Love,6,2,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
153,Careless Love,6,3,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
154,Careless Love,6,3,4,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
155,Careless Love,6,3,4,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
156,Careless Love,6,Error in m.12. Too fast. Little or no dynamic or tempo change. LH chords too short,0, Is the performed note accurate? , There is an error in m.12.,train
157,Careless Love,6,Error in m.12. Too fast. Little or no dynamic or tempo change. LH chords too short,0, How is the overall tempo? , Too fast.,train
158,Careless Love,6,Error in m.12. Too fast. Little or no dynamic or tempo change. LH chords too short,0, Is there reasonalbe tempo contrast? , Little or no dynamic or tempo change.,train
159,Careless Love,6,Error in m.12. Too fast. Little or no dynamic or tempo change. LH chords too short,0, Is the articulation appropriate? , LH chords too short.,train
160,Careless Love,6,"This performer went quite quickly through the piece. Though they hit all of the notes, they sounded very legato, which might not have been the most effective presentation for this piece.",1, How is the overall tempo? , The performer went quite quickly through the piece.,train
161,Careless Love,6,"This performer went quite quickly through the piece. Though they hit all of the notes, they sounded very legato, which might not have been the most effective presentation for this piece.",1, Is the performed note accurate? , They hit all of the notes.,train
162,Careless Love,6,"This performer went quite quickly through the piece. Though they hit all of the notes, they sounded very legato, which might not have been the most effective presentation for this piece.",1, Is the articulation appropriate? ," They sounded very legato, which might not have been the most effective presentation for this piece.",train
163,Careless Love,6,Good reading overall. Tempo a bit fast. Also missed left hand b-flat minor chords. Nice steady tempo! Very good!,2, In which skill level would you say the performer is in? , Good reading overall. ,train
164,Careless Love,6,Good reading overall. Tempo a bit fast. Also missed left hand b-flat minor chords. Nice steady tempo! Very good!,2, How is the overall tempo? , Tempo a bit fast.,train
165,Careless Love,6,Good reading overall. Tempo a bit fast. Also missed left hand b-flat minor chords. Nice steady tempo! Very good!,2, Is the performed note accurate? , Missed left hand b-flat minor chords.,train
166,Careless Love,6,Good reading overall. Tempo a bit fast. Also missed left hand b-flat minor chords. Nice steady tempo! Very good!,2, Is the performed tempo stable? , Nice steady tempo!,train
167,Careless Love,6,"A bit too fast. Dynamics somewhat okay. Main issue is the fact that the melody notes sounded almost staccato. No legato markings were respected, and the melody notes ended up to separate (felt like cuts between every note). This was opposite of what was written in the sheet, and opposite of what sounds appealing.",3, How is the overall tempo? , A bit too fast.,train
168,Careless Love,6,"A bit too fast. Dynamics somewhat okay. Main issue is the fact that the melody notes sounded almost staccato. No legato markings were respected, and the melody notes ended up to separate (felt like cuts between every note). This was opposite of what was written in the sheet, and opposite of what sounds appealing.",3, Is there reasonalbe dynamics contrast? , Dynamics somewhat okay.,train
169,Careless Love,6,"A bit too fast. Dynamics somewhat okay. Main issue is the fact that the melody notes sounded almost staccato. No legato markings were respected, and the melody notes ended up to separate (felt like cuts between every note). This was opposite of what was written in the sheet, and opposite of what sounds appealing.",3, Is the articulation appropriate? ," Melody notes sounded almost staccato, no legato markings were respected.",train
170,Careless Love,6,Left hand is too detached; should be smoother.  One mistake,4, Is the articulation appropriate? , Left hand is too detached; should be smoother.,train
171,Careless Love,6,Left hand is too detached; should be smoother.  One mistake,4, Is the performed note accurate? , One mistake.,train
172,Careless Love,6,This recording has a faster tempo than the others that I have listened to so far. The notes seem to be quite accurate but the chords are a bit abrupt.,5, How is the overall tempo? , This recording has a faster tempo than the others that I have listened to so far.,train
173,Careless Love,6,This recording has a faster tempo than the others that I have listened to so far. The notes seem to be quite accurate but the chords are a bit abrupt.,5, Is the performed note accurate? , The notes seem to be quite accurate.,train
174,Careless Love,6,This recording has a faster tempo than the others that I have listened to so far. The notes seem to be quite accurate but the chords are a bit abrupt.,5, Is the articulation appropriate? , The chords are a bit abrupt.,train
175,Careless Love,6,LH too detached. Good tempo. No rit. at end. No dynamics as indicated lines 3-4. Wrong LH note LH line 3.,6, How is the overall tempo? , Good tempo.,train
176,Careless Love,6,LH too detached. Good tempo. No rit. at end. No dynamics as indicated lines 3-4. Wrong LH note LH line 3.,6, Is there reasonalbe tempo contrast? , No rit. at end.,train
177,Careless Love,6,LH too detached. Good tempo. No rit. at end. No dynamics as indicated lines 3-4. Wrong LH note LH line 3.,6, Is there reasonalbe dynamics contrast? , No dynamics as indicated lines 3-4.,train
178,Careless Love,6,LH too detached. Good tempo. No rit. at end. No dynamics as indicated lines 3-4. Wrong LH note LH line 3.,6, Is the performed note accurate? , Wrong LH note LH line 3.,train
179,Careless Love,6,"The notes were accurate, and the pace was consistent. However, it was played at a pretty rapid pace, there was no change in sound intensity, and the half notes were not held for long enough.",7, Is the performed note accurate? , The notes were accurate.,train
180,Careless Love,6,"The notes were accurate, and the pace was consistent. However, it was played at a pretty rapid pace, there was no change in sound intensity, and the half notes were not held for long enough.",7, How is the overall tempo? , The pace was consistent and rapid.,train
181,Careless Love,6,"The notes were accurate, and the pace was consistent. However, it was played at a pretty rapid pace, there was no change in sound intensity, and the half notes were not held for long enough.",7, Is there reasonalbe dynamics contrast? , There was no change in sound intensity.,train
182,Careless Love,6,"The notes were accurate, and the pace was consistent. However, it was played at a pretty rapid pace, there was no change in sound intensity, and the half notes were not held for long enough.",7, Is the rhythm accurate? , Half notes were not held for long enough.,train
183,Careless Love,7,3,1,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
184,Careless Love,7,5,1,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
185,Careless Love,7,5,2,"What is the overall score you would assign to the performance, in a scale of 5? ",5,train
186,Careless Love,7,4,2,"What is the overall score you would assign to the performance, in a scale of 5? ",5,train
187,Careless Love,7,2,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
188,Careless Love,7,3,3,"What is the overall score you would assign to the performance, in a scale of 5? ",2,train
189,Careless Love,7,3,4,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
190,Careless Love,7,3,4,"What is the overall score you would assign to the performance, in a scale of 5? ",3,train
191,Careless Love,7,Error in m.10. Over-pedaling. No dynamic or tempo changes,0, Is the performed note accurate? , There was an error in measure 10.,train
192,Careless Love,7,Error in m.10. Over-pedaling. No dynamic or tempo changes,0, Is the pedal usage appropriate? , Over-pedaling was present.,train
193,Careless Love,7,Error in m.10. Over-pedaling. No dynamic or tempo changes,0, Is there reasonable dynamics contrast? , No dynamic changes were observed.,train
194,Careless Love,7,Error in m.10. Over-pedaling. No dynamic or tempo changes,0, Is the performed tempo stable? , No tempo changes were observed.,train
195,Careless Love,7,"There was only one brief moment of hesitation in the performance, and thus I still believe this smooth performance deserves an Excellent rating.",1, Is the performance hesitant or smooth? , The performance was generally smooth with only one brief moment of hesitation. ,train
196,Careless Love,7,"There was only one brief moment of hesitation in the performance, and thus I still believe this smooth performance deserves an Excellent rating.",1," What is the overall score you would assign to the performance, in a scale 5? "," 5, Excellent.",train
