,feedback_file,audio_file,original_feedback,Q,A,split
30,N/A,n01-chp-etd003-s-p02.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",test
31,N/A,n01-chp-etd003-s-p02.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,test
32,N/A,n01-chp-etd003-s-p02.wav,N/A,Who might be the composer?,Chopin,test
33,N/A,n08-chp-pld007-s-p01.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
34,N/A,n08-chp-pld007-s-p01.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",4,train
35,N/A,n08-chp-pld007-s-p01.wav,N/A,Who might be the composer?,Chopin,train
36,N/A,n31-sch-knd007-s-p12.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
37,N/A,n31-sch-knd007-s-p12.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",5,train
38,N/A,n31-sch-knd007-s-p12.wav,N/A,Who might be the composer?,Schumann,train
39,N/A,n28-bet-snt008-3-s-p01.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
40,N/A,n28-bet-snt008-3-s-p01.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,train
41,N/A,n28-bet-snt008-3-s-p01.wav,N/A,Who might be the composer?,Beethoven,train
42,N/A,n17-bac-inv001-s-p01.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
43,N/A,n17-bac-inv001-s-p01.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",3,train
44,N/A,n17-bac-inv001-s-p01.wav,N/A,Who might be the composer?,Bach,train
45,N/A,n17-bac-inv001-s-p02.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
46,N/A,n17-bac-inv001-s-p02.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",3,train
47,N/A,n17-bac-inv001-s-p02.wav,N/A,Who might be the composer?,Bach,train
48,N/A,n22-bac-inv015-s-p01.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",test
49,N/A,n22-bac-inv015-s-p01.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",4,test
50,N/A,n22-bac-inv015-s-p01.wav,N/A,Who might be the composer?,Bach,test
51,N/A,n28-bet-snt008-3-s-p02.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",test
52,N/A,n28-bet-snt008-3-s-p02.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,test
53,N/A,n28-bet-snt008-3-s-p02.wav,N/A,Who might be the composer?,Beethoven,test
54,N/A,n01-chp-etd003-s-p03.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
55,N/A,n01-chp-etd003-s-p03.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,train
56,N/A,n01-chp-etd003-s-p03.wav,N/A,Who might be the composer?,Chopin,train
57,N/A,n01-chp-etd003-s-p12.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
58,N/A,n01-chp-etd003-s-p12.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",6,train
59,N/A,n01-chp-etd003-s-p12.wav,N/A,Who might be the composer?,Chopin,train
60,N/A,n46-deb-pld108-s-p01.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
61,N/A,n46-deb-pld108-s-p01.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",5,train
62,N/A,n46-deb-pld108-s-p01.wav,N/A,Who might be the composer?,Debussy,train
63,N/A,n22-bac-inv015-s-p02.wav,N/A,What kind of performance might this be? ,"This is a student performance, but in advanced level.",train
64,N/A,n22-bac-inv015-s-p02.wav,N/A,"How would you rate the difficulty level of the piece, in a scale of 9? ",4,train
65,N/A,n22-bac-inv015-s-p02.wav,N/A,Who might be the composer?,Bach,train
66,n31-sch-knd007-s-p12_c13.txt,n31-sch-knd007-s-p12.wav,N/A,Can you give an overall assessment of the student performance? Elaborate in detail? ,"I was very impressed with the well-thought-out performance in terms of the intensity, rubato, and the build-up of phrases.

The pedal work was also clear.

It was a performance that made me want to listen to it more and more.",train
67,n01-chp-etd003-s-p12_c05.txt,n01-chp-etd003-s-p12.wav,N/A,Can you give an overall assessment of the student performance? Elaborate in detail? ,"Pedal timing is slow and the first beat tends to be muddy.
The overall sound is muddy, so it is better to use the pedal more frequently and thinly.
In bar 8, the left hand is strong on the second beat.
The ff is weak, and the p at the beginning is strong.
It was good that the atmosphere changed in the 19th bar.
The final fit is also good. The tempo of the modifier note matched the tempo of the preceding part.",train
68,n08-chp-pld007-s-p03_c06.txt,n08-chp-pld007-s-p03.wav,N/A,Can you give an overall assessment of the student performance? Elaborate in detail? ,"Each phrase is short, so use inflection to give the song a richer impression.
Don't always keep the same amount of bisyllabic notes, but slow and strong in addition to rit.
Chords in both the left and right hands are very beautiful with a uniform grain.
The beginning of the piece should be sweet and lovely sounding with ""dolce"" in mind.
Try to imagine compact music, as if you are playing for a few people in a salon rather than in a concert hall.",test
69,n08-chp-pld007-s-p01_c13.txt,n08-chp-pld007-s-p01.wav,N/A,Can you give an overall assessment of the student performance? Elaborate in detail? ,"The performance was faithful to the score and had no rough edges.
I also liked the soft and delicate sound.

I think that if you challenge yourself to play patterns with a little more individuality, you will be able to further expand your range of expression.",train
70,n31-sch-knd007-s-p12_c13.txt,n31-sch-knd007-s-p12.wav,"I was very impressed with the well-thought-out performance in terms of the intensity, rubato, and the build-up of phrases.

The pedal work was also clear.

It was a performance that made me want to listen to it more and more.", How would you describe the emotional intent of the performance? ," Well-thought-out performance in terms of the intensity, rubato, and the build-up of phrases.",train
71,n31-sch-knd007-s-p12_c13.txt,n31-sch-knd007-s-p12.wav,"I was very impressed with the well-thought-out performance in terms of the intensity, rubato, and the build-up of phrases.

The pedal work was also clear.

It was a performance that made me want to listen to it more and more.", Is the pedal change clean? , The pedal work was clear.,train
72,n31-sch-knd007-s-p12_c13.txt,n31-sch-knd007-s-p12.wav,"I was very impressed with the well-thought-out performance in terms of the intensity, rubato, and the build-up of phrases.

The pedal work was also clear.

It was a performance that made me want to listen to it more and more.", In which skill level would you say the performer is in? , Very impressive.,train
73,n01-chp-etd003-s-p12_c05.txt,n01-chp-etd003-s-p12.wav,"Pedal timing is slow and the first beat tends to be muddy.
The overall sound is muddy, so it is better to use the pedal more frequently and thinly.
In bar 8, the left hand is strong on the second beat.
The ff is weak, and the p at the beginning is strong.
It was good that the atmosphere changed in the 19th bar.
The final fit is also good. The tempo of the modifier note matched the tempo of the preceding part.", Is the pedal change clean? , Pedal timing is slow and the first beat tends to be muddy.,train
74,n01-chp-etd003-s-p12_c05.txt,n01-chp-etd003-s-p12.wav,"Pedal timing is slow and the first beat tends to be muddy.
The overall sound is muddy, so it is better to use the pedal more frequently and thinly.
In bar 8, the left hand is strong on the second beat.
The ff is weak, and the p at the beginning is strong.
It was good that the atmosphere changed in the 19th bar.
The final fit is also good. The tempo of the modifier note matched the tempo of the preceding part.", Is the performed tempo stable? , The tempo of the modifier note matched the tempo of the preceding part.,train
75,n01-chp-etd003-s-p12_c05.txt,n01-chp-etd003-s-p12.wav,"Pedal timing is slow and the first beat tends to be muddy.
The overall sound is muddy, so it is better to use the pedal more frequently and thinly.
In bar 8, the left hand is strong on the second beat.
The ff is weak, and the p at the beginning is strong.
It was good that the atmosphere changed in the 19th bar.
The final fit is also good. The tempo of the modifier note matched the tempo of the preceding part.", Is there reasonable dynamics contrast? ," The ff is weak, and the p at the beginning is strong.",train
76,n08-chp-pld007-s-p03_c06.txt,n08-chp-pld007-s-p03.wav,"Each phrase is short, so use inflection to give the song a richer impression.
Don't always keep the same amount of bisyllabic notes, but slow and strong in addition to rit.
Chords in both the left and right hands are very beautiful with a uniform grain.
The beginning of the piece should be sweet and lovely sounding with ""dolce"" in mind.
Try to imagine compact music, as if you are playing for a few people in a salon rather than in a concert hall.", Is the phrasing or melodic shaping clear? , Each phrase is short. ,test
77,n08-chp-pld007-s-p03_c06.txt,n08-chp-pld007-s-p03.wav,"Each phrase is short, so use inflection to give the song a richer impression.
Don't always keep the same amount of bisyllabic notes, but slow and strong in addition to rit.
Chords in both the left and right hands are very beautiful with a uniform grain.
The beginning of the piece should be sweet and lovely sounding with ""dolce"" in mind.
Try to imagine compact music, as if you are playing for a few people in a salon rather than in a concert hall.", How would you describe the emotional intent of the performance? ," The piece should invoke a sweet and lovely sounding with ""dolce"" in mind.",test
78,n08-chp-pld007-s-p03_c06.txt,n08-chp-pld007-s-p03.wav,"Each phrase is short, so use inflection to give the song a richer impression.
Don't always keep the same amount of bisyllabic notes, but slow and strong in addition to rit.
Chords in both the left and right hands are very beautiful with a uniform grain.
The beginning of the piece should be sweet and lovely sounding with ""dolce"" in mind.
Try to imagine compact music, as if you are playing for a few people in a salon rather than in a concert hall.", Is interpretation appropriate to the style of the composition? , The performer should envision playing for a few people in a salon rather than in a concert hall.,test
79,n08-chp-pld007-s-p01_c13.txt,n08-chp-pld007-s-p01.wav,"The performance was faithful to the score and had no rough edges.
I also liked the soft and delicate sound.

I think that if you challenge yourself to play patterns with a little more individuality, you will be able to further expand your range of expression.", Is the performance following score instructions? , The performance was faithful to the score.,train
80,n08-chp-pld007-s-p01_c13.txt,n08-chp-pld007-s-p01.wav,"The performance was faithful to the score and had no rough edges.
I also liked the soft and delicate sound.

I think that if you challenge yourself to play patterns with a little more individuality, you will be able to further expand your range of expression.", How would you rate the tone production of this performance? , Soft and delicate sound.,train
81,n08-chp-pld007-s-p01_c13.txt,n08-chp-pld007-s-p01.wav,"The performance was faithful to the score and had no rough edges.
I also liked the soft and delicate sound.

I think that if you challenge yourself to play patterns with a little more individuality, you will be able to further expand your range of expression.", What does the student needs to work on? , Playing patterns with a little more individuality.,train
82,n31-sch-knd007-s-p01_c09.txt,n31-sch-knd007-s-p01.wav,N/A,Can you give an overall assessment of the student performance? Elaborate in detail? ,"It may be the personality of the performer, but I felt the beginning part was too sticky. The melody, the way the bass is handled, and the way the phrasing is captured are very beautiful. I also like the melancholy of the modulation in the middle part.
However, I would have liked a little more fermata and crescendo in the last part. This may also be my taste, but I think the ending could be a little more intonation.
Overall, however, I thought the performance created Schumann's world with a beautiful sound.",train
83,n01-chp-etd003-s-p02_c22.txt,n01-chp-etd003-s-p02.wav,N/A,Can you give an overall assessment of the student performance? Elaborate in detail? ,"The performance was beautiful, each note had a sheen, and the music was careful and heartfelt.
  The harmony was beautiful.

Chopin said, ""I have never written such a beautiful melody.
　Chopin said, ""I have never written such a beautiful melody.
　If you play with an awareness of the melody part of the right hand, the rest of the melody will naturally become more restrained and sound more balanced.
　By doing so, I think that the part of the rhythm in the left hand, which is swinging a bit too much due to the desire to express emotion, will be more like a natural sway.
　I think that this will make the part where the left hand is trying to express emotion in a cagey way sound more like a natural sway (the sway of the rhythm, especially the part that is tame, not too tame, but natural).

By playing a little more slowly, the atmosphere at the beginning of the piece will be softer,
　I think that by playing a little more slowly, the atmosphere at the beginning of the piece will be softer, and you will have more time to carefully express the climax of the piece from the 14th bar.


The piano score is in two steps,
　If you imagine playing 4 parts with 2 hands, I think you will get more depth of expression,
　I think it will give more depth to the expression.
　1. melody
　2. viola accompaniment
　3. cello
　4. double bass",test
84,n32-moz-snt331-1-h-p01_c03.txt,n32-moz-snt331-1-h-p01.wav,N/A,Can you give an overall assessment of the student performance? Elaborate in detail? ,"It is played with great care and is beautifully put together.
In the time of Mozart, the composer of this piece, the piano as we know it today was not yet available, and the piece was played on harpsichord and fortepiano instruments. These instruments had several characteristics that differ from today's pianos.
One of the first is ""intensity. The instruments of the time were relatively low in volume, and were not good at producing fine changes in volume, such as crescendos and diminuendos, which were gradually increased or decreased in volume. Therefore, basically, a clear method of expression, such as ""strong"" or ""weak,"" was used.
In this piece, the main strength/weakness symbol is p (piano), which contrasts with sf (sforzando) that appears occasionally, and I think that is what makes this piece interesting.
I didn't hear much emphasis on that part in your performance, so I think you should try to emphasize this difference in strength and weakness.
First of all, let's try once how you would play it if this symbol was not there.
Don't just play it without the intensity, but try to play it with the beat in mind.
The six-eighths of the beat of this piece is a two-beat system, and the first and fourth beats (of eighth notes) are the strong beats. If you play it with that in mind, you will get a very natural and beautiful phrase.
Now let's play it with sf there. Then you will notice that the phrase sounds a little spicier than just a pretty phrase. This is Mozart's humor.



Another difference between the instruments of that time and today is the ""pedal.
Instruments back then did not have the ability to hold a note for a long time, or if they did, it was by pulling a lever with the hand, not by stepping on it with the foot like today's pedals. Therefore, excessive use of pedals should be avoided. It sounded like there was a little too much pedaling in your performance, so please pay attention to that.

Now, when playing Mozart, the most important thing to keep in mind is how to play the same notes in succession and how to play the notes at the end of a phrase.
In Mozart playing, you should always play these notes separately (apart).
For example, in the m-mi section in the second half of the first bar, there is a slight break before the m-mi that appears later. The end of the phrase in bars 4 and 12 should always be preceded by a small comma before the next bar, and bar 16 should appear to be the end of the phrase, but is actually the end of the phrase. In these cases, too, if you connect the notes at the end of the bar, it will sound too normal and the next forte will not be as effective. Experiment to find the most effective forte by experimenting with how far apart and how much of the phrase you can fit.

As for the forte at the end of the piece, there are many ways to interpret it. In your performance, both times you returned to the piano at the last bar, but it is also possible to play the forte all the way through. For example, you could play the first time and the second time after the repeat in different ways.
Also, in your performance, you played a ritardando at the end of the second time, but this also depends on the interpretation, but I think it would be fine to play it without making too big a rit, just to end it easily. Because if you look at the score, there is an eighth rest at the end. It makes sense to write the rests there. Compare this with the case where there is no rest and a dotted quarter note. If you play the rest as if it were to disappear, you will probably get the meaning of the rest.
Given that, if you do a leit in front of it, its effect may be lost.

There are many possible interpretations when creating detailed nuances like this, so please experiment with each of them and find the interpretation that you think is right.",test
85,n01-chp-etd003-s-p02_c12.txt,n01-chp-etd003-s-p02.wav,N/A,Can you give an overall assessment of the student performance? Elaborate in detail? ,"　I think you are conscious of the sense of phrasing and sing the melody very carefully.
I think that if you study the expression of the harmony, the expression will become even deeper and the melody will come alive.
For example, it would be good to listen carefully to the change of harmony when returning to the melody of a after the doppeldorfer dominant in the 8th bar, and play it with taste.
The overall excitement and sense of moving forward are expressed very well, so I think the performance will become more mature if the melody coming down from the 17th bar is given more color.
　I am concerned that the way the melody is sung after the climax is a little monotonous.
　Overall, I can tell that you have been practicing carefully.
　Please try to play it at the same length as the original.",test
86,n31-sch-knd007-s-p01_c09.txt,n31-sch-knd007-s-p01.wav,"It may be the personality of the performer, but I felt the beginning part was too sticky. The melody, the way the bass is handled, and the way the phrasing is captured are very beautiful. I also like the melancholy of the modulation in the middle part.
However, I would have liked a little more fermata and crescendo in the last part. This may also be my taste, but I think the ending could be a little more intonation.
Overall, however, I thought the performance created Schumann's world with a beautiful sound.", How would you describe the emotional intent of the performance? ," The beginning part felt too sticky, almost melancholy, but the middle part captured a beautiful, melancholic modulation.",train
87,n31-sch-knd007-s-p01_c09.txt,n31-sch-knd007-s-p01.wav,"It may be the personality of the performer, but I felt the beginning part was too sticky. The melody, the way the bass is handled, and the way the phrasing is captured are very beautiful. I also like the melancholy of the modulation in the middle part.
However, I would have liked a little more fermata and crescendo in the last part. This may also be my taste, but I think the ending could be a little more intonation.
Overall, however, I thought the performance created Schumann's world with a beautiful sound.", How is the tone production? ," The melody, the way the bass is handled, and the phrasing are very beautiful.",train
88,n31-sch-knd007-s-p01_c09.txt,n31-sch-knd007-s-p01.wav,"It may be the personality of the performer, but I felt the beginning part was too sticky. The melody, the way the bass is handled, and the way the phrasing is captured are very beautiful. I also like the melancholy of the modulation in the middle part.
However, I would have liked a little more fermata and crescendo in the last part. This may also be my taste, but I think the ending could be a little more intonation.
Overall, however, I thought the performance created Schumann's world with a beautiful sound.", What does the student needs to work on? ," Needs to work on fermata and crescendo in the last part, and needs to improve intonation at the ending.",train
89,n01-chp-etd003-s-p02_c22.txt,n01-chp-etd003-s-p02.wav,"The performance was beautiful, each note had a sheen, and the music was careful and heartfelt.
  The harmony was beautiful.

Chopin said, ""I have never written such a beautiful melody.
　Chopin said, ""I have never written such a beautiful melody.
　If you play with an awareness of the melody part of the right hand, the rest of the melody will naturally become more restrained and sound more balanced.
　By doing so, I think that the part of the rhythm in the left hand, which is swinging a bit too much due to the desire to express emotion, will be more like a natural sway.
　I think that this will make the part where the left hand is trying to express emotion in a cagey way sound more like a natural sway (the sway of the rhythm, especially the part that is tame, not too tame, but natural).

By playing a little more slowly, the atmosphere at the beginning of the piece will be softer,
　I think that by playing a little more slowly, the atmosphere at the beginning of the piece will be softer, and you will have more time to carefully express the climax of the piece from the 14th bar.


The piano score is in two steps,
　If you imagine playing 4 parts with 2 hands, I think you will get more depth of expression,
　I think it will give more depth to the expression.
　1. melody
　2. viola accompaniment
　3. cello
　4. double bass", How would you describe the emotional intent of the performance? ," It was beautiful, each note had a sheen, and the music was careful and heartfelt.",test
90,n01-chp-etd003-s-p02_c22.txt,n01-chp-etd003-s-p02.wav,"The performance was beautiful, each note had a sheen, and the music was careful and heartfelt.
  The harmony was beautiful.

Chopin said, ""I have never written such a beautiful melody.
　Chopin said, ""I have never written such a beautiful melody.
　If you play with an awareness of the melody part of the right hand, the rest of the melody will naturally become more restrained and sound more balanced.
　By doing so, I think that the part of the rhythm in the left hand, which is swinging a bit too much due to the desire to express emotion, will be more like a natural sway.
　I think that this will make the part where the left hand is trying to express emotion in a cagey way sound more like a natural sway (the sway of the rhythm, especially the part that is tame, not too tame, but natural).

By playing a little more slowly, the atmosphere at the beginning of the piece will be softer,
　I think that by playing a little more slowly, the atmosphere at the beginning of the piece will be softer, and you will have more time to carefully express the climax of the piece from the 14th bar.


The piano score is in two steps,
　If you imagine playing 4 parts with 2 hands, I think you will get more depth of expression,
　I think it will give more depth to the expression.
　1. melody
　2. viola accompaniment
　3. cello
　4. double bass", Is there reasonable balance between hands? , Need to be aware of the melody part in the right hand to balance the rest of the melody.,test
91,n01-chp-etd003-s-p02_c22.txt,n01-chp-etd003-s-p02.wav,"The performance was beautiful, each note had a sheen, and the music was careful and heartfelt.
  The harmony was beautiful.

Chopin said, ""I have never written such a beautiful melody.
　Chopin said, ""I have never written such a beautiful melody.
　If you play with an awareness of the melody part of the right hand, the rest of the melody will naturally become more restrained and sound more balanced.
　By doing so, I think that the part of the rhythm in the left hand, which is swinging a bit too much due to the desire to express emotion, will be more like a natural sway.
　I think that this will make the part where the left hand is trying to express emotion in a cagey way sound more like a natural sway (the sway of the rhythm, especially the part that is tame, not too tame, but natural).

By playing a little more slowly, the atmosphere at the beginning of the piece will be softer,
　I think that by playing a little more slowly, the atmosphere at the beginning of the piece will be softer, and you will have more time to carefully express the climax of the piece from the 14th bar.


The piano score is in two steps,
　If you imagine playing 4 parts with 2 hands, I think you will get more depth of expression,
　I think it will give more depth to the expression.
　1. melody
　2. viola accompaniment
　3. cello
　4. double bass", What does the student needs to work on? ," Needs to work on the rhythm part in the left hand to make it sound like a natural sway, and balance the beginning of the piece by playing a little slower.",test
92,n32-moz-snt331-1-h-p01_c03.txt,n32-moz-snt331-1-h-p01.wav,"It is played with great care and is beautifully put together.
In the time of Mozart, the composer of this piece, the piano as we know it today was not yet available, and the piece was played on harpsichord and fortepiano instruments. These instruments had several characteristics that differ from today's pianos.
One of the first is ""intensity. The instruments of the time were relatively low in volume, and were not good at producing fine changes in volume, such as crescendos and diminuendos, which were gradually increased or decreased in volume. Therefore, basically, a clear method of expression, such as ""strong"" or ""weak,"" was used.
In this piece, the main strength/weakness symbol is p (piano), which contrasts with sf (sforzando) that appears occasionally, and I think that is what makes this piece interesting.
I didn't hear much emphasis on that part in your performance, so I think you should try to emphasize this difference in strength and weakness.
First of all, let's try once how you would play it if this symbol was not there.
Don't just play it without the intensity, but try to play it with the beat in mind.
The six-eighths of the beat of this piece is a two-beat system, and the first and fourth beats (of eighth notes) are the strong beats. If you play it with that in mind, you will get a very natural and beautiful phrase.
Now let's play it with sf there. Then you will notice that the phrase sounds a little spicier than just a pretty phrase. This is Mozart's humor.



Another difference between the instruments of that time and today is the ""pedal.
Instruments back then did not have the ability to hold a note for a long time, or if they did, it was by pulling a lever with the hand, not by stepping on it with the foot like today's pedals. Therefore, excessive use of pedals should be avoided. It sounded like there was a little too much pedaling in your performance, so please pay attention to that.

Now, when playing Mozart, the most important thing to keep in mind is how to play the same notes in succession and how to play the notes at the end of a phrase.
In Mozart playing, you should always play these notes separately (apart).
For example, in the m-mi section in the second half of the first bar, there is a slight break before the m-mi that appears later. The end of the phrase in bars 4 and 12 should always be preceded by a small comma before the next bar, and bar 16 should appear to be the end of the phrase, but is actually the end of the phrase. In these cases, too, if you connect the notes at the end of the bar, it will sound too normal and the next forte will not be as effective. Experiment to find the most effective forte by experimenting with how far apart and how much of the phrase you can fit.

As for the forte at the end of the piece, there are many ways to interpret it. In your performance, both times you returned to the piano at the last bar, but it is also possible to play the forte all the way through. For example, you could play the first time and the second time after the repeat in different ways.
Also, in your performance, you played a ritardando at the end of the second time, but this also depends on the interpretation, but I think it would be fine to play it without making too big a rit, just to end it easily. Because if you look at the score, there is an eighth rest at the end. It makes sense to write the rests there. Compare this with the case where there is no rest and a dotted quarter note. If you play the rest as if it were to disappear, you will probably get the meaning of the rest.
Given that, if you do a leit in front of it, its effect may be lost.

There are many possible interpretations when creating detailed nuances like this, so please experiment with each of them and find the interpretation that you think is right.", Is there reasonalbe dynamics contrast? ," Need to emphasize the difference in strength and weakness, reflect the sf (sforzando) better.",test
93,n32-moz-snt331-1-h-p01_c03.txt,n32-moz-snt331-1-h-p01.wav,"It is played with great care and is beautifully put together.
In the time of Mozart, the composer of this piece, the piano as we know it today was not yet available, and the piece was played on harpsichord and fortepiano instruments. These instruments had several characteristics that differ from today's pianos.
One of the first is ""intensity. The instruments of the time were relatively low in volume, and were not good at producing fine changes in volume, such as crescendos and diminuendos, which were gradually increased or decreased in volume. Therefore, basically, a clear method of expression, such as ""strong"" or ""weak,"" was used.
In this piece, the main strength/weakness symbol is p (piano), which contrasts with sf (sforzando) that appears occasionally, and I think that is what makes this piece interesting.
I didn't hear much emphasis on that part in your performance, so I think you should try to emphasize this difference in strength and weakness.
First of all, let's try once how you would play it if this symbol was not there.
Don't just play it without the intensity, but try to play it with the beat in mind.
The six-eighths of the beat of this piece is a two-beat system, and the first and fourth beats (of eighth notes) are the strong beats. If you play it with that in mind, you will get a very natural and beautiful phrase.
Now let's play it with sf there. Then you will notice that the phrase sounds a little spicier than just a pretty phrase. This is Mozart's humor.



Another difference between the instruments of that time and today is the ""pedal.
Instruments back then did not have the ability to hold a note for a long time, or if they did, it was by pulling a lever with the hand, not by stepping on it with the foot like today's pedals. Therefore, excessive use of pedals should be avoided. It sounded like there was a little too much pedaling in your performance, so please pay attention to that.

Now, when playing Mozart, the most important thing to keep in mind is how to play the same notes in succession and how to play the notes at the end of a phrase.
In Mozart playing, you should always play these notes separately (apart).
For example, in the m-mi section in the second half of the first bar, there is a slight break before the m-mi that appears later. The end of the phrase in bars 4 and 12 should always be preceded by a small comma before the next bar, and bar 16 should appear to be the end of the phrase, but is actually the end of the phrase. In these cases, too, if you connect the notes at the end of the bar, it will sound too normal and the next forte will not be as effective. Experiment to find the most effective forte by experimenting with how far apart and how much of the phrase you can fit.

As for the forte at the end of the piece, there are many ways to interpret it. In your performance, both times you returned to the piano at the last bar, but it is also possible to play the forte all the way through. For example, you could play the first time and the second time after the repeat in different ways.
Also, in your performance, you played a ritardando at the end of the second time, but this also depends on the interpretation, but I think it would be fine to play it without making too big a rit, just to end it easily. Because if you look at the score, there is an eighth rest at the end. It makes sense to write the rests there. Compare this with the case where there is no rest and a dotted quarter note. If you play the rest as if it were to disappear, you will probably get the meaning of the rest.
Given that, if you do a leit in front of it, its effect may be lost.

There are many possible interpretations when creating detailed nuances like this, so please experiment with each of them and find the interpretation that you think is right.", Is the pedal usage appropriate? , Sounded like there was a little too much pedaling.,test
