,id,mark_sub_level,title,upload_date,duration,view_count,like_count,dislike_count,comment_count,webpage_url,channel_url,split,audio_path,Q,A
6,hxeEu-tCeB4,,60 days of practice: day 31 Chopin Fantaisie-Impromptu | One Month Progress,20230624,81,1986,87.0,,15.0,https://www.youtube.com/watch?v=hxeEu-tCeB4,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/hxeEu-tCeB4.wav,Would you say this performance sounds more like it's by a student or a master?,This performance has the characteristics of played by a novice.
7,cs7iJvAIzUA,,Autumn Leaves LIVE,20230831,182,31,,,,https://www.youtube.com/watch?v=cs7iJvAIzUA,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,train,/data/scratch/acw630/PianoJudge/novice/cs7iJvAIzUA.wav,"From the sound of it, is this a student or master level performance?",This appears to be a student performance.
8,h8Nj4sSBgDA,,슈만 ; Melodie Album for The Young,20201029,46,61,1.0,,0.0,https://www.youtube.com/watch?v=h8Nj4sSBgDA,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,train,/data/scratch/acw630/PianoJudge/novice/h8Nj4sSBgDA.wav,Does this sound like a performance by a student or a master?,This appears to be a student performance.
9,MpNba8vhrx0,,하농 1번,20220712,40,24,,,,https://www.youtube.com/watch?v=MpNba8vhrx0,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,train,/data/scratch/acw630/PianoJudge/novice/MpNba8vhrx0.wav,Would you say this performance sounds more like it's by a student or a master?,This appears to be a student performance.
10,R5Y3a7xZWWc,,60 days of practice: day 25 Rachmaninoff Prelude op.3 no.2 Speed up,20230618,67,120,7.0,,6.0,https://www.youtube.com/watch?v=R5Y3a7xZWWc,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/R5Y3a7xZWWc.wav,Can you identify the composer of this piece?,Rachmaninoff
10,R5Y3a7xZWWc,,60 days of practice: day 25 Rachmaninoff Prelude op.3 no.2 Speed up,20230618,67,120,7.0,,6.0,https://www.youtube.com/watch?v=R5Y3a7xZWWc,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/R5Y3a7xZWWc.wav,Would you say this performance sounds more like it's by a student or a master?,This sounds like a student performance.
11,ZKjOmH5skPc,,하농 1번 빠르게,20220712,40,97,,,,https://www.youtube.com/watch?v=ZKjOmH5skPc,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,train,/data/scratch/acw630/PianoJudge/novice/ZKjOmH5skPc.wav,Does this sound like a performance by a student or a master?,This sounds like a student performance.
12,MUXDxL88Eew,,"A. Khachaturyan - Waltz (""Masquerade"")",20231126,202,127,14.0,,,https://www.youtube.com/watch?v=MUXDxL88Eew,https://www.youtube.com/channel/UCtBh6e4qPMgJx4O6hL3OHQA,train,/data/scratch/acw630/PianoJudge/novice/MUXDxL88Eew.wav,Would you say this performance sounds more like it's by a student or a master?,This performance has the characteristics of played by a novice.
13,kX9Xm_EoIcU,,J. Hydn Sonate e moll Development practice,20210303,51,28,4.0,,2.0,https://www.youtube.com/watch?v=kX9Xm_EoIcU,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/kX9Xm_EoIcU.wav,Would you say this performance sounds more like it's by a student or a master?,This sounds like a student performance.
14,mCHRmXh6K9Q,,Heller: Op. 45 No. 4 (Sorrow and Joy),20210703,120,1230,31.0,,1.0,https://www.youtube.com/watch?v=mCHRmXh6K9Q,https://www.youtube.com/channel/UCARhyyxNbUEim4VCL16_YSg,test,/data/scratch/acw630/PianoJudge/novice/mCHRmXh6K9Q.wav,"From the sound of it, is this a student or master level performance?",This sounds like a student performance.
15,nbIOl-ZI28E,,60 days of practice: day 42 Beethoven Sonata no.2,20230707,62,142,15.0,,4.0,https://www.youtube.com/watch?v=nbIOl-ZI28E,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/nbIOl-ZI28E.wav,Could you guess the composer of this piece?,Beethoven
15,nbIOl-ZI28E,,60 days of practice: day 42 Beethoven Sonata no.2,20230707,62,142,15.0,,4.0,https://www.youtube.com/watch?v=nbIOl-ZI28E,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/nbIOl-ZI28E.wav,Does this sound like a performance by a student or a master?,This performance has the characteristics of played by a novice.
16,u5Z2lTguXQQ,,60 days of practice: day 4 Beethoven Sonata 2,20230527,51,254,15.0,,2.0,https://www.youtube.com/watch?v=u5Z2lTguXQQ,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/u5Z2lTguXQQ.wav,Who is likely the composer of the music being played?,Beethoven
16,u5Z2lTguXQQ,,60 days of practice: day 4 Beethoven Sonata 2,20230527,51,254,15.0,,2.0,https://www.youtube.com/watch?v=u5Z2lTguXQQ,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/u5Z2lTguXQQ.wav,Would you say this performance sounds more like it's by a student or a master?,This performance has the characteristics of played by a novice.
17,Olq6qSg4SoQ,,Chopin Etude op  25 no 1,20221008,178,56,7.0,,3.0,https://www.youtube.com/watch?v=Olq6qSg4SoQ,https://www.youtube.com/channel/UCNYXoB4duLvrUR5ERSAHjNg,train,/data/scratch/acw630/PianoJudge/novice/Olq6qSg4SoQ.wav,Can you identify the composer of this piece?,Chopin
17,Olq6qSg4SoQ,,Chopin Etude op  25 no 1,20221008,178,56,7.0,,3.0,https://www.youtube.com/watch?v=Olq6qSg4SoQ,https://www.youtube.com/channel/UCNYXoB4duLvrUR5ERSAHjNg,train,/data/scratch/acw630/PianoJudge/novice/Olq6qSg4SoQ.wav,Does this sound like a performance by a student or a master?,This performance has the characteristics of played by a novice.
18,kZ6zG7kqgy0,,Memories / Original Composition (Remastered Audio),20230324,187,154,13.0,,7.0,https://www.youtube.com/watch?v=kZ6zG7kqgy0,https://www.youtube.com/channel/UCV_NSE1aLQt04b9CHUX4l7Q,train,/data/scratch/acw630/PianoJudge/novice/kZ6zG7kqgy0.wav,"From the sound of it, is this a student or master level performance?",This appears to be a student performance.
19,BFpPAc-h-kM,,Tchaikovsky Polka Piano Practice Day 20 of 30,20230513,35,65,13.0,,3.0,https://www.youtube.com/watch?v=BFpPAc-h-kM,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/BFpPAc-h-kM.wav,Who is likely the composer of the music being played?,Tchaikovsky
19,BFpPAc-h-kM,,Tchaikovsky Polka Piano Practice Day 20 of 30,20230513,35,65,13.0,,3.0,https://www.youtube.com/watch?v=BFpPAc-h-kM,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/BFpPAc-h-kM.wav,Would you say this performance sounds more like it's by a student or a master?,This appears to be a student performance.
20,4S_MsHjXwfk,,Piano progress 2y 8 months Träumerei (Dreaming) - Schumann,20230902,204,144,14.0,,7.0,https://www.youtube.com/watch?v=4S_MsHjXwfk,https://www.youtube.com/channel/UCSoasSmoWrTAmeDUP65hl3A,train,/data/scratch/acw630/PianoJudge/novice/4S_MsHjXwfk.wav,Would you say this performance sounds more like it's by a student or a master?,This sounds like a student performance.
21,yabkWMFn-7w,,Behind Her Eyes - Waking Up (Netflix) [Remastered Cover / Tutorial],20230217,88,116,8.0,,7.0,https://www.youtube.com/watch?v=yabkWMFn-7w,https://www.youtube.com/channel/UCV_NSE1aLQt04b9CHUX4l7Q,train,/data/scratch/acw630/PianoJudge/novice/yabkWMFn-7w.wav,"From the sound of it, is this a student or master level performance?",This performance has the characteristics of played by a novice.
22,mu8pmGcX-EU,,I Learned It For 5 Hours Piano practice Day 12 of 30,20230505,48,96,12.0,,0.0,https://www.youtube.com/watch?v=mu8pmGcX-EU,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/mu8pmGcX-EU.wav,Does this sound like a performance by a student or a master?,This performance has the characteristics of played by a novice.
23,tMXaLb0iQeM,,Piano Solo Love Affair Ennio Morricone,20230823,121,163,,,0.0,https://www.youtube.com/watch?v=tMXaLb0iQeM,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,train,/data/scratch/acw630/PianoJudge/novice/tMXaLb0iQeM.wav,"From the sound of it, is this a student or master level performance?",This appears to be a student performance.
24,qpqYX8pJmAU,,Oblivion A. Piazzolla,20210208,61,98,8.0,,2.0,https://www.youtube.com/watch?v=qpqYX8pJmAU,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,test,/data/scratch/acw630/PianoJudge/novice/qpqYX8pJmAU.wav,Does this sound like a performance by a student or a master?,This sounds like a student performance.
25,OKf_bNwdLV4,,Yann Tiersen - Porz Goret (Piano Cover / Tutorial),20230507,268,462,27.0,,7.0,https://www.youtube.com/watch?v=OKf_bNwdLV4,https://www.youtube.com/channel/UCV_NSE1aLQt04b9CHUX4l7Q,train,/data/scratch/acw630/PianoJudge/novice/OKf_bNwdLV4.wav,Would you say this performance sounds more like it's by a student or a master?,This performance has the characteristics of played by a novice.
26,9SdU2lTSc6M,,60 days of practice: day 45 Chopin Waltz op.64 no.2,20230712,57,176,9.0,,4.0,https://www.youtube.com/watch?v=9SdU2lTSc6M,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,test,/data/scratch/acw630/PianoJudge/novice/9SdU2lTSc6M.wav,Who might be the composer of this piece?,Chopin
26,9SdU2lTSc6M,,60 days of practice: day 45 Chopin Waltz op.64 no.2,20230712,57,176,9.0,,4.0,https://www.youtube.com/watch?v=9SdU2lTSc6M,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,test,/data/scratch/acw630/PianoJudge/novice/9SdU2lTSc6M.wav,"From the sound of it, is this a student or master level performance?",This performance has the characteristics of played by a novice.
27,Mk6lg57ClnI,,60 days of practice: day 20 Crazy Chords by Rachmaninoff 🤪,20230613,87,200,16.0,,4.0,https://www.youtube.com/watch?v=Mk6lg57ClnI,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/Mk6lg57ClnI.wav,Can you identify the composer of this piece?,Rachmaninoff
27,Mk6lg57ClnI,,60 days of practice: day 20 Crazy Chords by Rachmaninoff 🤪,20230613,87,200,16.0,,4.0,https://www.youtube.com/watch?v=Mk6lg57ClnI,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/Mk6lg57ClnI.wav,Would you say this performance sounds more like it's by a student or a master?,This appears to be a student performance.
28,TLdkae1fzjo,,Czerny Etude 17 Piano Practice Day 22 of 30,20230515,25,58,9.0,,2.0,https://www.youtube.com/watch?v=TLdkae1fzjo,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/TLdkae1fzjo.wav,"From the sound of it, is this a student or master level performance?",This appears to be a student performance.
29,oIO5OIYLd2Q,,60 days of practice: day 34 Chopin Nocturne E Flat Major,20230627,80,661,22.0,,8.0,https://www.youtube.com/watch?v=oIO5OIYLd2Q,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,test,/data/scratch/acw630/PianoJudge/novice/oIO5OIYLd2Q.wav,Could you guess the composer of this piece?,Chopin
29,oIO5OIYLd2Q,,60 days of practice: day 34 Chopin Nocturne E Flat Major,20230627,80,661,22.0,,8.0,https://www.youtube.com/watch?v=oIO5OIYLd2Q,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,test,/data/scratch/acw630/PianoJudge/novice/oIO5OIYLd2Q.wav,Does this sound like a performance by a student or a master?,This appears to be a student performance.
30,z2gRS6AFwrY,,60 days of practice: day 52 | Chopin Fantaisie-Impromptu | Relax,20230724,108,437,20.0,,2.0,https://www.youtube.com/watch?v=z2gRS6AFwrY,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/z2gRS6AFwrY.wav,Could you guess the composer of this piece?,Chopin
30,z2gRS6AFwrY,,60 days of practice: day 52 | Chopin Fantaisie-Impromptu | Relax,20230724,108,437,20.0,,2.0,https://www.youtube.com/watch?v=z2gRS6AFwrY,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/z2gRS6AFwrY.wav,"From the sound of it, is this a student or master level performance?",This appears to be a student performance.
31,4NhP1itWidg,,60 days of practice: day 44 Beethoven Sonata no.2 | The Most Beautiful Part,20230711,68,117,14.0,,0.0,https://www.youtube.com/watch?v=4NhP1itWidg,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/4NhP1itWidg.wav,Could you guess the composer of this piece?,Beethoven
31,4NhP1itWidg,,60 days of practice: day 44 Beethoven Sonata no.2 | The Most Beautiful Part,20230711,68,117,14.0,,0.0,https://www.youtube.com/watch?v=4NhP1itWidg,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/4NhP1itWidg.wav,Does this sound like a performance by a student or a master?,This performance has the characteristics of played by a novice.
32,aC7UiEQfG80,,60 days of practice: day 35 Chopin Waltz op.64 no.2,20230628,56,306,20.0,,0.0,https://www.youtube.com/watch?v=aC7UiEQfG80,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/aC7UiEQfG80.wav,Who is likely the composer of the music being played?,Chopin
32,aC7UiEQfG80,,60 days of practice: day 35 Chopin Waltz op.64 no.2,20230628,56,306,20.0,,0.0,https://www.youtube.com/watch?v=aC7UiEQfG80,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/aC7UiEQfG80.wav,Does this sound like a performance by a student or a master?,This performance has the characteristics of played by a novice.
33,p6_sgkC9bQQ,,Harry Potter 7.2 - Courtyard Apocalypse (Piano Version),20231109,121,991,33.0,,16.0,https://www.youtube.com/watch?v=p6_sgkC9bQQ,https://www.youtube.com/channel/UCV_NSE1aLQt04b9CHUX4l7Q,train,/data/scratch/acw630/PianoJudge/novice/p6_sgkC9bQQ.wav,Would you say this performance sounds more like it's by a student or a master?,This sounds like a student performance.
34,krGnkCa0hsM,,Oliver at piano  #shorts,20230731,43,6,0.0,,0.0,https://www.youtube.com/watch?v=krGnkCa0hsM,https://www.youtube.com/channel/UCNYXoB4duLvrUR5ERSAHjNg,test,/data/scratch/acw630/PianoJudge/novice/krGnkCa0hsM.wav,"From the sound of it, is this a student or master level performance?",This performance has the characteristics of played by a novice.
35,Fu7azODgXRQ,,Bach: Invention 13 in A Minor (BWV 784),20210702,96,6231,113.0,,7.0,https://www.youtube.com/watch?v=Fu7azODgXRQ,https://www.youtube.com/channel/UCARhyyxNbUEim4VCL16_YSg,train,/data/scratch/acw630/PianoJudge/novice/Fu7azODgXRQ.wav,Can you identify the composer of this piece?,Bach
35,Fu7azODgXRQ,,Bach: Invention 13 in A Minor (BWV 784),20210702,96,6231,113.0,,7.0,https://www.youtube.com/watch?v=Fu7azODgXRQ,https://www.youtube.com/channel/UCARhyyxNbUEim4VCL16_YSg,train,/data/scratch/acw630/PianoJudge/novice/Fu7azODgXRQ.wav,"From the sound of it, is this a student or master level performance?",This performance has the characteristics of played by a novice.
36,QKqpFlCww8U,,Beautiful Music Piano Practice Day 19 of 30,20230512,43,45,5.0,,0.0,https://www.youtube.com/watch?v=QKqpFlCww8U,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/QKqpFlCww8U.wav,Would you say this performance sounds more like it's by a student or a master?,This performance has the characteristics of played by a novice.
37,16OY8a7iRDs,,60 days of practice: day 1 Chopin Waltz C Sharp Minor,20230524,90,1129,30.0,,9.0,https://www.youtube.com/watch?v=16OY8a7iRDs,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/16OY8a7iRDs.wav,Can you identify the composer of this piece?,Chopin
37,16OY8a7iRDs,,60 days of practice: day 1 Chopin Waltz C Sharp Minor,20230524,90,1129,30.0,,9.0,https://www.youtube.com/watch?v=16OY8a7iRDs,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/16OY8a7iRDs.wav,Does this sound like a performance by a student or a master?,This performance has the characteristics of played by a novice.
38,f7_gmrooztk,,하농 3번,20220712,30,106,,,,https://www.youtube.com/watch?v=f7_gmrooztk,https://www.youtube.com/channel/UCztTKflXnyZ4vfWCQKO3nPw,train,/data/scratch/acw630/PianoJudge/novice/f7_gmrooztk.wav,"From the sound of it, is this a student or master level performance?",This appears to be a student performance.
39,rY3loSzwiiU,,Yann Tiersen - Comptine d'Un Autre Été (Amélie),20201021,156,42235,768.0,,16.0,https://www.youtube.com/watch?v=rY3loSzwiiU,https://www.youtube.com/channel/UCV_NSE1aLQt04b9CHUX4l7Q,train,/data/scratch/acw630/PianoJudge/novice/rY3loSzwiiU.wav,"From the sound of it, is this a student or master level performance?",This sounds like a student performance.
40,I8LJETvd_lM,,Beethoven - Moonlight Sonata (1st Movement),20210320,414,1882,38.0,,12.0,https://www.youtube.com/watch?v=I8LJETvd_lM,https://www.youtube.com/channel/UCV_NSE1aLQt04b9CHUX4l7Q,train,/data/scratch/acw630/PianoJudge/novice/I8LJETvd_lM.wav,Who is likely the composer of the music being played?,Beethoven
40,I8LJETvd_lM,,Beethoven - Moonlight Sonata (1st Movement),20210320,414,1882,38.0,,12.0,https://www.youtube.com/watch?v=I8LJETvd_lM,https://www.youtube.com/channel/UCV_NSE1aLQt04b9CHUX4l7Q,train,/data/scratch/acw630/PianoJudge/novice/I8LJETvd_lM.wav,Does this sound like a performance by a student or a master?,This performance has the characteristics of played by a novice.
41,vOhlX0KNit0,,Joining the dots Grade 5 A. Bullard - Feb 2023 sight-reading progress #30piecechallenge,20230907,129,62,4.0,,3.0,https://www.youtube.com/watch?v=vOhlX0KNit0,https://www.youtube.com/channel/UCSoasSmoWrTAmeDUP65hl3A,train,/data/scratch/acw630/PianoJudge/novice/vOhlX0KNit0.wav,"From the sound of it, is this a student or master level performance?",This appears to be a student performance.
42,E2qT0lkO8ZM,,60 days of practice: day 33 Beethoven Sonata no.2,20230626,83,138,12.0,,2.0,https://www.youtube.com/watch?v=E2qT0lkO8ZM,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/E2qT0lkO8ZM.wav,Who is likely the composer of the music being played?,Beethoven
42,E2qT0lkO8ZM,,60 days of practice: day 33 Beethoven Sonata no.2,20230626,83,138,12.0,,2.0,https://www.youtube.com/watch?v=E2qT0lkO8ZM,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/E2qT0lkO8ZM.wav,Would you say this performance sounds more like it's by a student or a master?,This performance has the characteristics of played by a novice.
43,gT3N2N21vNs,,"Hello, Dolly - ( L.Armstrong - singer ) - J. Herman (music and lyrics)",20231021,74,206,14.0,,28.0,https://www.youtube.com/watch?v=gT3N2N21vNs,https://www.youtube.com/channel/UCtBh6e4qPMgJx4O6hL3OHQA,train,/data/scratch/acw630/PianoJudge/novice/gT3N2N21vNs.wav,Does this sound like a performance by a student or a master?,This performance has the characteristics of played by a novice.
44,G9rtgoHiRGk,,P.Tchaikovsky - March ( the Seasons ),20240107,142,156,32.0,,83.0,https://www.youtube.com/watch?v=G9rtgoHiRGk,https://www.youtube.com/channel/UCtBh6e4qPMgJx4O6hL3OHQA,train,/data/scratch/acw630/PianoJudge/novice/G9rtgoHiRGk.wav,Can you identify the composer of this piece?,Tchaikovsky
44,G9rtgoHiRGk,,P.Tchaikovsky - March ( the Seasons ),20240107,142,156,32.0,,83.0,https://www.youtube.com/watch?v=G9rtgoHiRGk,https://www.youtube.com/channel/UCtBh6e4qPMgJx4O6hL3OHQA,train,/data/scratch/acw630/PianoJudge/novice/G9rtgoHiRGk.wav,"From the sound of it, is this a student or master level performance?",This sounds like a student performance.
45,XRqpvawSsGQ,,Satie - Gnossienne No. 1,20210405,252,403,16.0,,6.0,https://www.youtube.com/watch?v=XRqpvawSsGQ,https://www.youtube.com/channel/UCV_NSE1aLQt04b9CHUX4l7Q,train,/data/scratch/acw630/PianoJudge/novice/XRqpvawSsGQ.wav,"From the sound of it, is this a student or master level performance?",This performance has the characteristics of played by a novice.
46,_s5MjB1eISc,0.0,"My first performance after 1 year piano playing | Chopin ""Aeolian Harp"" Op.25 Nº1",20230128,180,5798,198.0,,37.0,https://www.youtube.com/watch?v=_s5MjB1eISc,https://www.youtube.com/channel/UCZiE4ecCy78kIot55w1-Uww,train,/data/scratch/acw630/PianoJudge/novice/_s5MjB1eISc.wav,Who might be the composer of this piece?,Chopin
46,_s5MjB1eISc,0.0,"My first performance after 1 year piano playing | Chopin ""Aeolian Harp"" Op.25 Nº1",20230128,180,5798,198.0,,37.0,https://www.youtube.com/watch?v=_s5MjB1eISc,https://www.youtube.com/channel/UCZiE4ecCy78kIot55w1-Uww,train,/data/scratch/acw630/PianoJudge/novice/_s5MjB1eISc.wav,"From the sound of it, is this a student or master level performance?",This appears to be a student performance.
47,5_LMhl6ZjPU,,Piano Practice Day 10 of 30 Tchaikovsky Polka,20230503,46,129,9.0,,0.0,https://www.youtube.com/watch?v=5_LMhl6ZjPU,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/5_LMhl6ZjPU.wav,Can you identify the composer of this piece?,Tchaikovsky
47,5_LMhl6ZjPU,,Piano Practice Day 10 of 30 Tchaikovsky Polka,20230503,46,129,9.0,,0.0,https://www.youtube.com/watch?v=5_LMhl6ZjPU,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/5_LMhl6ZjPU.wav,"From the sound of it, is this a student or master level performance?",This appears to be a student performance.
48,QLvt75Afjzg,,J. Hydn Sonate e moll 1st movement. Just playing through. (Й. Гайдн Соната ми минор),20210211,30,52,8.0,,3.0,https://www.youtube.com/watch?v=QLvt75Afjzg,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/QLvt75Afjzg.wav,Does this sound like a performance by a student or a master?,This appears to be a student performance.
49,1xvTsQzRuXw,,Practice Day 2 of 30 Tchaikovsky Neapolitan song #tchaikovsky #neapolitansong  #practicepiano,20230425,78,43,7.0,,2.0,https://www.youtube.com/watch?v=1xvTsQzRuXw,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/1xvTsQzRuXw.wav,Who is likely the composer of the music being played?,Tchaikovsky
49,1xvTsQzRuXw,,Practice Day 2 of 30 Tchaikovsky Neapolitan song #tchaikovsky #neapolitansong  #practicepiano,20230425,78,43,7.0,,2.0,https://www.youtube.com/watch?v=1xvTsQzRuXw,https://www.youtube.com/channel/UCGErFuoNnSdk6kCDKUpuExQ,train,/data/scratch/acw630/PianoJudge/novice/1xvTsQzRuXw.wav,"From the sound of it, is this a student or master level performance?",This performance has the characteristics of played by a novice.
