,Composer,Work Title,Movement,henle,YouTube Link 1,YouTube Link 2,YouTube Link 3,Unnamed: 6,audio_id,audio_path,original_id,split,Q,A
4,LUDWIG VAN BEETHOVEN,Piano Sonata (Waldstein Sonata) C major op. 53,mvt. 4,9,https://www.youtube.com/watch?v=UFj0jXMAQzU,,https://www.youtube.com/watch?v=o_4s7hSfNII,,UFj0jXMAQzU,/data/scratch/acw630/difficulty_cipi/UFj0jXMAQzU.wav,c-21,train,"From the sound of it, is this a student or master level performance?",This is a master performance. It's mistake-free and has a high level of musicality.
5,LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 1,9,https://www.youtube.com/watch?v=EEptNFzLpjk,,,,EEptNFzLpjk,/data/scratch/acw630/difficulty_cipi/EEptNFzLpjk.wav,c-23,test,Could you guess the composer of this piece?,LUDWIG VAN BEETHOVEN
5,LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 1,9,https://www.youtube.com/watch?v=EEptNFzLpjk,,,,EEptNFzLpjk,/data/scratch/acw630/difficulty_cipi/EEptNFzLpjk.wav,c-23,test,Rate the complexity of the piece in this track on a scale of 1 to 9.,9
5,LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 1,9,https://www.youtube.com/watch?v=EEptNFzLpjk,,,,EEptNFzLpjk,/data/scratch/acw630/difficulty_cipi/EEptNFzLpjk.wav,c-23,test,"From the sound of it, is this a student or master level performance?",This appeared to be performed by really advanced player. Possibly a pianist.
6,LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 2,9,https://www.youtube.com/watch?v=vlb45gA9ge4,,,,vlb45gA9ge4,/data/scratch/acw630/difficulty_cipi/vlb45gA9ge4.wav,c-23,test,Who might be the composer of this piece?,LUDWIG VAN BEETHOVEN
6,LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 2,9,https://www.youtube.com/watch?v=vlb45gA9ge4,,,,vlb45gA9ge4,/data/scratch/acw630/difficulty_cipi/vlb45gA9ge4.wav,c-23,test,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
6,LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 2,9,https://www.youtube.com/watch?v=vlb45gA9ge4,,,,vlb45gA9ge4,/data/scratch/acw630/difficulty_cipi/vlb45gA9ge4.wav,c-23,test,"From the sound of it, is this a student or master level performance?",This appeared to be performed by really advanced player. Possibly a pianist.
7,LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 3,9,https://www.youtube.com/watch?v=efA1S8hyBms,https://www.youtube.com/watch?v=4tadbTifZFs,https://www.youtube.com/watch?v=YeH2vuwnaQk,,https://www.youtube.com/shorts/J384ENa4Ui0,/data/scratch/acw630/difficulty_cipi/efA1S8hyBms.wav,c-23,test,Could you guess the composer of this piece?,LUDWIG VAN BEETHOVEN
7,LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 3,9,https://www.youtube.com/watch?v=efA1S8hyBms,https://www.youtube.com/watch?v=4tadbTifZFs,https://www.youtube.com/watch?v=YeH2vuwnaQk,,https://www.youtube.com/shorts/J384ENa4Ui0,/data/scratch/acw630/difficulty_cipi/efA1S8hyBms.wav,c-23,test,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
7,LUDWIG VAN BEETHOVEN,Piano Sonata (Appassionata) f minor op. 57,mvt. 3,9,https://www.youtube.com/watch?v=efA1S8hyBms,https://www.youtube.com/watch?v=4tadbTifZFs,https://www.youtube.com/watch?v=YeH2vuwnaQk,,https://www.youtube.com/shorts/J384ENa4Ui0,/data/scratch/acw630/difficulty_cipi/efA1S8hyBms.wav,c-23,test,"From the sound of it, is this a student or master level performance?",This is a master performance. It's mistake-free and has a high level of musicality.
8,FRÉDÉRIC CHOPIN,"Etude C major op. 10,1",,9,https://www.youtube.com/watch?v=EsyGQYnvkMc,https://www.youtube.com/watch?v=9E82wwNc7r8,https://www.youtube.com/watch?v=JRgQgr4-at8,https://www.youtube.com/watch?v=yhvFGWChNGY,EsyGQYnvkMc,/data/scratch/acw630/difficulty_cipi/EsyGQYnvkMc.wav,c-263,train,Can you identify the composer of this piece?,FRÉDÉRIC CHOPIN
8,FRÉDÉRIC CHOPIN,"Etude C major op. 10,1",,9,https://www.youtube.com/watch?v=EsyGQYnvkMc,https://www.youtube.com/watch?v=9E82wwNc7r8,https://www.youtube.com/watch?v=JRgQgr4-at8,https://www.youtube.com/watch?v=yhvFGWChNGY,EsyGQYnvkMc,/data/scratch/acw630/difficulty_cipi/EsyGQYnvkMc.wav,c-263,train,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
8,FRÉDÉRIC CHOPIN,"Etude C major op. 10,1",,9,https://www.youtube.com/watch?v=EsyGQYnvkMc,https://www.youtube.com/watch?v=9E82wwNc7r8,https://www.youtube.com/watch?v=JRgQgr4-at8,https://www.youtube.com/watch?v=yhvFGWChNGY,EsyGQYnvkMc,/data/scratch/acw630/difficulty_cipi/EsyGQYnvkMc.wav,c-263,train,Does this sound like a performance by a student or a master?,This appeared to be performed by really advanced player. Possibly a pianist.
9,FRÉDÉRIC CHOPIN,"Etude g sharp minor op. 25,6",,9,https://www.youtube.com/watch?v=Kq-zzAczGRE,https://www.youtube.com/watch?v=JbJ79UAt6UI,https://www.youtube.com/watch?v=A1ggN4xxgxM,https://www.youtube.com/watch?v=0pQYEigYKpg,Kq-zzAczGRE,/data/scratch/acw630/difficulty_cipi/Kq-zzAczGRE.wav,c-273,train,Can you identify the composer of this piece?,FRÉDÉRIC CHOPIN
9,FRÉDÉRIC CHOPIN,"Etude g sharp minor op. 25,6",,9,https://www.youtube.com/watch?v=Kq-zzAczGRE,https://www.youtube.com/watch?v=JbJ79UAt6UI,https://www.youtube.com/watch?v=A1ggN4xxgxM,https://www.youtube.com/watch?v=0pQYEigYKpg,Kq-zzAczGRE,/data/scratch/acw630/difficulty_cipi/Kq-zzAczGRE.wav,c-273,train,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
9,FRÉDÉRIC CHOPIN,"Etude g sharp minor op. 25,6",,9,https://www.youtube.com/watch?v=Kq-zzAczGRE,https://www.youtube.com/watch?v=JbJ79UAt6UI,https://www.youtube.com/watch?v=A1ggN4xxgxM,https://www.youtube.com/watch?v=0pQYEigYKpg,Kq-zzAczGRE,/data/scratch/acw630/difficulty_cipi/Kq-zzAczGRE.wav,c-273,train,Does this sound like a performance by a student or a master?,"This performance is of a master level, free from errors and rich in musical expression."
10,LUDWIG VAN BEETHOVEN,Piano Sonata A major op. 101,mvt. 1,9,https://www.youtube.com/watch?v=MySaUnsc25E,https://www.youtube.com/watch?v=Qk0ZTeNYwgI,https://www.youtube.com/watch?v=MySaUnsc25E,https://www.youtube.com/watch?v=mVVvr1DO_Qs,MySaUnsc25E,/data/scratch/acw630/difficulty_cipi/MySaUnsc25E.wav,c-28,val,Can you identify the composer of this piece?,LUDWIG VAN BEETHOVEN
10,LUDWIG VAN BEETHOVEN,Piano Sonata A major op. 101,mvt. 1,9,https://www.youtube.com/watch?v=MySaUnsc25E,https://www.youtube.com/watch?v=Qk0ZTeNYwgI,https://www.youtube.com/watch?v=MySaUnsc25E,https://www.youtube.com/watch?v=mVVvr1DO_Qs,MySaUnsc25E,/data/scratch/acw630/difficulty_cipi/MySaUnsc25E.wav,c-28,val,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
10,LUDWIG VAN BEETHOVEN,Piano Sonata A major op. 101,mvt. 1,9,https://www.youtube.com/watch?v=MySaUnsc25E,https://www.youtube.com/watch?v=Qk0ZTeNYwgI,https://www.youtube.com/watch?v=MySaUnsc25E,https://www.youtube.com/watch?v=mVVvr1DO_Qs,MySaUnsc25E,/data/scratch/acw630/difficulty_cipi/MySaUnsc25E.wav,c-28,val,Would you say this performance sounds more like it's by a student or a master?,"This performance is of a master level, free from errors and rich in musical expression."
11,LUDWIG VAN BEETHOVEN,Piano Sonata A major op. 101,mvt. 2,9,https://www.youtube.com/watch?v=4IFs_WPug1M,https://www.youtube.com/watch?v=7ftEcIdRUe8,https://www.youtube.com/watch?v=4IFs_WPug1M,,4IFs_WPug1M,/data/scratch/acw630/difficulty_cipi/4IFs_WPug1M.wav,c-28,val,Who is likely the composer of the music being played?,LUDWIG VAN BEETHOVEN
11,LUDWIG VAN BEETHOVEN,Piano Sonata A major op. 101,mvt. 2,9,https://www.youtube.com/watch?v=4IFs_WPug1M,https://www.youtube.com/watch?v=7ftEcIdRUe8,https://www.youtube.com/watch?v=4IFs_WPug1M,,4IFs_WPug1M,/data/scratch/acw630/difficulty_cipi/4IFs_WPug1M.wav,c-28,val,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
11,LUDWIG VAN BEETHOVEN,Piano Sonata A major op. 101,mvt. 2,9,https://www.youtube.com/watch?v=4IFs_WPug1M,https://www.youtube.com/watch?v=7ftEcIdRUe8,https://www.youtube.com/watch?v=4IFs_WPug1M,,4IFs_WPug1M,/data/scratch/acw630/difficulty_cipi/4IFs_WPug1M.wav,c-28,val,Does this sound like a performance by a student or a master?,"This performance is of a master level, free from errors and rich in musical expression."
12,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 1,9,https://www.youtube.com/watch?v=j-3QDOhXc3s,,,,https://www.youtube.com/shorts/J384ENa4Ui0,/data/scratch/acw630/difficulty_cipi/j-3QDOhXc3s.wav,c-29,train,Who is likely the composer of the music being played?,LUDWIG VAN BEETHOVEN
12,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 1,9,https://www.youtube.com/watch?v=j-3QDOhXc3s,,,,https://www.youtube.com/shorts/J384ENa4Ui0,/data/scratch/acw630/difficulty_cipi/j-3QDOhXc3s.wav,c-29,train,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
12,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 1,9,https://www.youtube.com/watch?v=j-3QDOhXc3s,,,,https://www.youtube.com/shorts/J384ENa4Ui0,/data/scratch/acw630/difficulty_cipi/j-3QDOhXc3s.wav,c-29,train,"From the sound of it, is this a student or master level performance?","This performance is of a master level, free from errors and rich in musical expression."
13,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 2,9,https://www.youtube.com/watch?v=2AFUXiJ2dxE,https://www.youtube.com/watch?v=2AFUXiJ2dxE,https://www.youtube.com/watch?v=Vi-I1Tk8UIA,https://www.youtube.com/watch?v=oCgZrSYrdeY,2AFUXiJ2dxE,/data/scratch/acw630/difficulty_cipi/2AFUXiJ2dxE.wav,c-29,train,Could you guess the composer of this piece?,LUDWIG VAN BEETHOVEN
13,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 2,9,https://www.youtube.com/watch?v=2AFUXiJ2dxE,https://www.youtube.com/watch?v=2AFUXiJ2dxE,https://www.youtube.com/watch?v=Vi-I1Tk8UIA,https://www.youtube.com/watch?v=oCgZrSYrdeY,2AFUXiJ2dxE,/data/scratch/acw630/difficulty_cipi/2AFUXiJ2dxE.wav,c-29,train,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
13,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 2,9,https://www.youtube.com/watch?v=2AFUXiJ2dxE,https://www.youtube.com/watch?v=2AFUXiJ2dxE,https://www.youtube.com/watch?v=Vi-I1Tk8UIA,https://www.youtube.com/watch?v=oCgZrSYrdeY,2AFUXiJ2dxE,/data/scratch/acw630/difficulty_cipi/2AFUXiJ2dxE.wav,c-29,train,"From the sound of it, is this a student or master level performance?",This is a master performance. It's mistake-free and has a high level of musicality.
14,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 3,9,https://www.youtube.com/watch?v=lrKPwzlDENQ,https://www.youtube.com/shorts/J384ENa4Ui0,,,lrKPwzlDENQ,/data/scratch/acw630/difficulty_cipi/lrKPwzlDENQ.wav,c-29,train,Could you guess the composer of this piece?,LUDWIG VAN BEETHOVEN
14,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 3,9,https://www.youtube.com/watch?v=lrKPwzlDENQ,https://www.youtube.com/shorts/J384ENa4Ui0,,,lrKPwzlDENQ,/data/scratch/acw630/difficulty_cipi/lrKPwzlDENQ.wav,c-29,train,Rate the complexity of the piece in this track on a scale of 1 to 9.,9
14,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 3,9,https://www.youtube.com/watch?v=lrKPwzlDENQ,https://www.youtube.com/shorts/J384ENa4Ui0,,,lrKPwzlDENQ,/data/scratch/acw630/difficulty_cipi/lrKPwzlDENQ.wav,c-29,train,Would you say this performance sounds more like it's by a student or a master?,This appeared to be performed by really advanced player. Possibly a pianist.
15,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 4,9,https://www.youtube.com/watch?v=UcjvYfh1lrw,,,,UcjvYfh1lrw,/data/scratch/acw630/difficulty_cipi/UcjvYfh1lrw.wav,c-29,train,Can you identify the composer of this piece?,LUDWIG VAN BEETHOVEN
15,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 4,9,https://www.youtube.com/watch?v=UcjvYfh1lrw,,,,UcjvYfh1lrw,/data/scratch/acw630/difficulty_cipi/UcjvYfh1lrw.wav,c-29,train,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
15,LUDWIG VAN BEETHOVEN,Piano Sonata (Hammerklavier) B flat major op. 106,mvt. 4,9,https://www.youtube.com/watch?v=UcjvYfh1lrw,,,,UcjvYfh1lrw,/data/scratch/acw630/difficulty_cipi/UcjvYfh1lrw.wav,c-29,train,"From the sound of it, is this a student or master level performance?","This performance is of a master level, free from errors and rich in musical expression."
16,LUDWIG VAN BEETHOVEN,Piano Sonata c minor op. 111,mvt. 1,9,https://www.youtube.com/watch?v=pod7UiUd-4k,,,,pod7UiUd-4k,/data/scratch/acw630/difficulty_cipi/pod7UiUd-4k.wav,c-32,train,Could you guess the composer of this piece?,LUDWIG VAN BEETHOVEN
16,LUDWIG VAN BEETHOVEN,Piano Sonata c minor op. 111,mvt. 1,9,https://www.youtube.com/watch?v=pod7UiUd-4k,,,,pod7UiUd-4k,/data/scratch/acw630/difficulty_cipi/pod7UiUd-4k.wav,c-32,train,Rate the complexity of the piece in this track on a scale of 1 to 9.,9
16,LUDWIG VAN BEETHOVEN,Piano Sonata c minor op. 111,mvt. 1,9,https://www.youtube.com/watch?v=pod7UiUd-4k,,,,pod7UiUd-4k,/data/scratch/acw630/difficulty_cipi/pod7UiUd-4k.wav,c-32,train,"From the sound of it, is this a student or master level performance?",This is a master performance. It's mistake-free and has a high level of musicality.
17,LUDWIG VAN BEETHOVEN,Piano Sonata c minor op. 111,mvt. 2,9,https://www.youtube.com/watch?v=UQsQEnhI_vM,,,,UQsQEnhI_vM,/data/scratch/acw630/difficulty_cipi/UQsQEnhI_vM.wav,c-32,train,Who might be the composer of this piece?,LUDWIG VAN BEETHOVEN
17,LUDWIG VAN BEETHOVEN,Piano Sonata c minor op. 111,mvt. 2,9,https://www.youtube.com/watch?v=UQsQEnhI_vM,,,,UQsQEnhI_vM,/data/scratch/acw630/difficulty_cipi/UQsQEnhI_vM.wav,c-32,train,"What difficulty level would you assign to the composition in this track, on a scale of 1 to 9?",9
17,LUDWIG VAN BEETHOVEN,Piano Sonata c minor op. 111,mvt. 2,9,https://www.youtube.com/watch?v=UQsQEnhI_vM,,,,UQsQEnhI_vM,/data/scratch/acw630/difficulty_cipi/UQsQEnhI_vM.wav,c-32,train,"From the sound of it, is this a student or master level performance?",This is a master performance. It's mistake-free and has a high level of musicality.
18,FRÉDÉRIC CHOPIN,Piano Sonata b minor op. 58,,9,https://www.youtube.com/watch?v=42NSIDFakf8,,,,42NSIDFakf8,/data/scratch/acw630/difficulty_cipi/42NSIDFakf8.wav,c-332,val,Who is likely the composer of the music being played?,FRÉDÉRIC CHOPIN
18,FRÉDÉRIC CHOPIN,Piano Sonata b minor op. 58,,9,https://www.youtube.com/watch?v=42NSIDFakf8,,,,42NSIDFakf8,/data/scratch/acw630/difficulty_cipi/42NSIDFakf8.wav,c-332,val,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
18,FRÉDÉRIC CHOPIN,Piano Sonata b minor op. 58,,9,https://www.youtube.com/watch?v=42NSIDFakf8,,,,42NSIDFakf8,/data/scratch/acw630/difficulty_cipi/42NSIDFakf8.wav,c-332,val,Would you say this performance sounds more like it's by a student or a master?,This is a master performance. It's mistake-free and has a high level of musicality.
19,FRÉDÉRIC CHOPIN,"Prelude d minor op. 28,24",,9,https://www.youtube.com/watch?v=PROCLaNobs8,https://www.youtube.com/watch?v=QHcEH2Rliko,https://www.youtube.com/watch?v=G5OkSfbsQfI,https://www.youtube.com/watch?v=CU9RgI9j7Do,PROCLaNobs8,/data/scratch/acw630/difficulty_cipi/PROCLaNobs8.wav,c-353,train,Who is likely the composer of the music being played?,FRÉDÉRIC CHOPIN
19,FRÉDÉRIC CHOPIN,"Prelude d minor op. 28,24",,9,https://www.youtube.com/watch?v=PROCLaNobs8,https://www.youtube.com/watch?v=QHcEH2Rliko,https://www.youtube.com/watch?v=G5OkSfbsQfI,https://www.youtube.com/watch?v=CU9RgI9j7Do,PROCLaNobs8,/data/scratch/acw630/difficulty_cipi/PROCLaNobs8.wav,c-353,train,Rate the complexity of the piece in this track on a scale of 1 to 9.,9
19,FRÉDÉRIC CHOPIN,"Prelude d minor op. 28,24",,9,https://www.youtube.com/watch?v=PROCLaNobs8,https://www.youtube.com/watch?v=QHcEH2Rliko,https://www.youtube.com/watch?v=G5OkSfbsQfI,https://www.youtube.com/watch?v=CU9RgI9j7Do,PROCLaNobs8,/data/scratch/acw630/difficulty_cipi/PROCLaNobs8.wav,c-353,train,Does this sound like a performance by a student or a master?,"This performance is of a master level, free from errors and rich in musical expression."
20,JOHANNES BRAHMS,Paganini Variations op. 35,,9,https://www.youtube.com/watch?v=s9Dn6AuIgHI,,,,s9Dn6AuIgHI,/data/scratch/acw630/difficulty_cipi/s9Dn6AuIgHI.wav,x-100,train,Who is likely the composer of the music being played?,JOHANNES BRAHMS
20,JOHANNES BRAHMS,Paganini Variations op. 35,,9,https://www.youtube.com/watch?v=s9Dn6AuIgHI,,,,s9Dn6AuIgHI,/data/scratch/acw630/difficulty_cipi/s9Dn6AuIgHI.wav,x-100,train,"how would you rate the difficulty of the piece played in this track, on a scale of 1 to 9?On a scale from 1 to 9, how challenging is the piece featured in this track?",9
20,JOHANNES BRAHMS,Paganini Variations op. 35,,9,https://www.youtube.com/watch?v=s9Dn6AuIgHI,,,,s9Dn6AuIgHI,/data/scratch/acw630/difficulty_cipi/s9Dn6AuIgHI.wav,x-100,train,Would you say this performance sounds more like it's by a student or a master?,This is a master performance. It's mistake-free and has a high level of musicality.
21,FRANZ LISZT,Rhapsodie espagnole,,9,https://www.youtube.com/watch?v=uqHy8lg84PM,,,,uqHy8lg84PM,/data/scratch/acw630/difficulty_cipi/uqHy8lg84PM.wav,x-101,train,Who might be the composer of this piece?,FRANZ LISZT
21,FRANZ LISZT,Rhapsodie espagnole,,9,https://www.youtube.com/watch?v=uqHy8lg84PM,,,,uqHy8lg84PM,/data/scratch/acw630/difficulty_cipi/uqHy8lg84PM.wav,x-101,train,"What difficulty level would you assign to the composition in this track, on a scale of 1 to 9?",9
21,FRANZ LISZT,Rhapsodie espagnole,,9,https://www.youtube.com/watch?v=uqHy8lg84PM,,,,uqHy8lg84PM,/data/scratch/acw630/difficulty_cipi/uqHy8lg84PM.wav,x-101,train,"From the sound of it, is this a student or master level performance?",This is a master performance. It's mistake-free and has a high level of musicality.
22,FRANZ LISZT,Piano Sonata b minor,,9,https://www.youtube.com/watch?v=n04GkRTC_Lo,,,,n04GkRTC_Lo,/data/scratch/acw630/difficulty_cipi/n04GkRTC_Lo.wav,x-133,train,Can you identify the composer of this piece?,FRANZ LISZT
22,FRANZ LISZT,Piano Sonata b minor,,9,https://www.youtube.com/watch?v=n04GkRTC_Lo,,,,n04GkRTC_Lo,/data/scratch/acw630/difficulty_cipi/n04GkRTC_Lo.wav,x-133,train,"What difficulty level would you assign to the composition in this track, on a scale of 1 to 9?",9
22,FRANZ LISZT,Piano Sonata b minor,,9,https://www.youtube.com/watch?v=n04GkRTC_Lo,,,,n04GkRTC_Lo,/data/scratch/acw630/difficulty_cipi/n04GkRTC_Lo.wav,x-133,train,Would you say this performance sounds more like it's by a student or a master?,This appeared to be performed by really advanced player. Possibly a pianist.
23,FRANZ LISZT,Après une Lecture du Dante - Fantasia quasi Sonata,,9,https://www.youtube.com/watch?v=lWLK4fpT4VE,,,,lWLK4fpT4VE,/data/scratch/acw630/difficulty_cipi/lWLK4fpT4VE.wav,x-137,train,Could you guess the composer of this piece?,FRANZ LISZT
